contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.00060365023	0.99969155	0	1	0.0	1.0	0.0309884125945412	0.969011587405459	610061
2	0	1	0.0007798	0.9995864	0	1	0.0	1.0	0.0168695414017245	0.983130458598276	426608
3	0	1	0.001913855	0.99899554	0	1	0.0	1.0	0.0340924118545066	0.965907588145493	328787
4	0	1	0.0024545037	0.99872327	0	1	0.0	1.0	0.0294012082378637	0.970598791762136	250484
5	0	1	0.0019241798	0.9989161	0	1	0.0	1.0	0.0253553250294289	0.974644674970571	217924
6	0	1	0.005414703	0.9970759	0	1	0.0	1.0	0.0283536180779529	0.971646381922047	215657
7	0	1	0.0027115257	0.9985781	0	1	0.0	1.0	0.0169304903418938	0.983069509658106	200315
8	0	1	0.0028513372	0.9984254	0	1	0.0	1.0	0.0221169383282613	0.977883061671739	197395
9	0	1	0.0041663568	0.99765015	0	1	0.0	1.0	0.0303784629963885	0.969621537003612	178769
10	0	1	0.003728507	0.9979613	0	1	0.0	1.0	0.0298178075701057	0.970182192429894	167846
11	0	1	0.015644442	0.99107784	0	1	0.0	1.0	0.0265240506031672	0.973475949396833	153847
12	0	1	0.06619891	0.95468056	0	1	0.001	0.999	0.0201578904005109	0.979842109599489	129208
13	0	1	0.004623553	0.997537	0	1	0.0	1.0	0.0337416717905407	0.966258328209459	111397
14	0	1	0.0043557915	0.9976393	0	1	0.001	0.999	0.0180754410275454	0.981924558972455	107495
15	0	1	0.021357829	0.9878174	0	1	0.008	0.992	0.0587529894022005	0.941247010597799	98438
16	0	1	0.005287862	0.99698615	0	1	0.0	1.0	0.0152220823727273	0.984777917627273	97607
17	0	1	0.0044845208	0.99760604	0	1	0.001	0.999	0.031685965748787	0.968314034251213	90015
18	0	1	0.015459801	0.9911313	0	1	0.001	0.999	0.0171262013823885	0.982873798617611	79739
19	0	1	0.006023447	0.99667716	0	1	0.0	1.0	0.0356787774788495	0.96432122252115	78707
20	0	1	0.0062496	0.99654186	0	1	0.0	1.0	0.0250584619039647	0.974941538096035	78374
21	0	1	0.0067910124	0.99624527	0	1	0.003	0.997	0.0815639845812831	0.918436015418717	71769
22	0	1	0.026412085	0.9850191	0	1	0.172	0.828	0.0507595195454651	0.949240480454535	68107
23	0	1	0.03320904	0.98050666	0	1	0.003	0.997	0.0151388522735962	0.984861147726404	65324
24	0	1	0.017452626	0.9902825	0	1	0.001	0.999	0.0401767236456296	0.95982327635437	56521
25	0	1	0.012267318	0.9931285	0	1	0.003	0.997	0.005686417726418	0.994313582273582	50813
26	0	1	0.09577014	0.9344316	0	1	0.289	0.711	0.151951802602492	0.848048197397508	50810
27	0	1	0.014002115	0.99205554	0	1	0.0	1.0	0.0036004016563705	0.996399598343629	43229
28	0	1	0.13919856	0.9102348	0	1	0.285	0.715	0.0616550612135404	0.93834493878646	42189
29	0	1	0.011635067	0.9934598	0	1	0.013	0.987	0.046768949200656	0.953231050799344	41308
30	0	1	0.032986216	0.9792305	0	1	0.328	0.672	0.0405706348716014	0.959429365128399	39157
31	1	0	0.05050415	0.9702785	1	0	0.981	0.019	0.812656959626245	0.187343040373755	35969
32	0	1	0.00825062	0.99528885	0	1	0.0	1.0	0.0854323288736738	0.914567671126326	32904
33	0	1	0.010588862	0.99418044	0	1	0.045	0.955	0.0775394573485199	0.92246054265148	32071
34	0	1	0.0093697505	0.9945575	0	1	0.0	1.0	0.0167553931300727	0.983244606869927	32041
35	0	1	0.22748516	0.8488464	0	1	0.193	0.807	0.0884714229621709	0.911528577037829	31246
36	0	1	0.011650325	0.99353325	0	1	0.001	0.999	0.0606524159262878	0.939347584073712	30171
37	0	1	0.008275094	0.99517196	0	1	0.0	1.0	0.0095933679440324	0.990406632055968	29827
38	0	1	0.5794671	0.5516342	0	1	0.231	0.769	0.0587975157251779	0.941202484274822	26336
39	0	1	0.04210126	0.97416526	0	1	0.222	0.778	0.0660040859584229	0.933995914041577	23900
40	1	0	0.8628453	0.20441294	1	0	0.977	0.023	0.658571275554116	0.341428724445884	23249
41	0	1	0.1519621	0.8975482	0	1	0.307	0.693	0.186206243236959	0.813793756763041	23141
42	0	1	0.014861716	0.9912813	0	1	0.008	0.992	0.0048104213634925	0.995189578636507	22844
43	0	1	0.11087992	0.9279103	0	1	0.282	0.718	0.163784132272775	0.836215867727225	22685
44	0	1	0.034144975	0.98079634	0	1	0.008	0.992	0.0149887630109021	0.985011236989098	22561
45	0	1	0.09420702	0.9385662	0	1	0.223	0.777	0.042116360702796	0.957883639297204	22481
46	0	1	0.021557804	0.98779744	0	1	0.0	1.0	0.0115288729542558	0.988471127045744	20649
47	0	1	0.19301966	0.87166834	1	0	0.873	0.127	0.377997500355571	0.622002499644429	19188
48	0	1	0.025894772	0.98552114	0	1	0.002	0.998	0.0470033939207614	0.952996606079239	18987
49	1	0	0.82063085	0.2752227	1	0	0.856	0.144	0.362324534023504	0.637675465976496	16475
50	0	1	0.045880504	0.9742354	0	1	0.008	0.992	0.0578747139348027	0.942125286065197	15091
51	0	1	0.020764766	0.9883679	0	1	0.111	0.889	0.050139386327317	0.949860613672683	14956
52	0	1	0.009652474	0.99463665	0	1	0.016	0.984	0.0077109935097531	0.992289006490247	14743
53	0	1	0.13474676	0.9163617	0	1	0.295	0.705	0.133753157048186	0.866246842951814	14257
54	0	1	0.012756322	0.99267775	0	1	0.02	0.98	0.0234957392067096	0.97650426079329	12521
55	1	0	0.8089379	0.29481855	1	0	0.765	0.235	0.661462363010796	0.338537636989204	12271
56	1	0	0.088663004	0.954135	1	0	0.805	0.195	0.822036628062073	0.177963371937927	12188
57	1	0	0.2601265	0.83507603	1	0	0.892	0.108	0.977944886752051	0.0220551132479493	11993
58	0	1	0.1381277	0.9140972	0	1	0.551	0.449	0.49146826489067	0.50853173510933	9355
59	0	1	0.057446886	0.9676666	0	1	0.044	0.956	0.0020611067551639	0.997938893244836	8780
60	1	0	0.82640827	0.26327965	1	0	0.78	0.22	0.620656909906229	0.379343090093771	8097
61	0	1	0.7202668	0.42776605	0	1	0.559	0.441	0.184413230780898	0.815586769219102	7845
