contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.00086109224	0.9995216	0	1	0.0	1.0
2	0	1	0.0018100191	0.99896324	0	1	0.0	1.0
3	0	1	0.001256556	0.99931866	0	1	0.001	0.999
4	0	1	0.0014456016	0.9991734	0	1	0.0	1.0
5	0	1	0.0024917226	0.99868023	0	1	0.0	1.0
6	0	1	0.0019394367	0.99899065	0	1	0.0	1.0
7	0	1	0.0040049385	0.99768305	0	1	0.0	1.0
8	0	1	0.0016501904	0.9990835	0	1	0.0	1.0
9	0	1	0.0036805614	0.99802506	0	1	0.0	1.0
10	0	1	0.0058478494	0.9968036	0	1	0.0	1.0
11	0	1	0.0021352815	0.99888664	0	1	0.0	1.0
12	0	1	0.002246803	0.99877214	0	1	0.0	1.0
13	0	1	0.0028601647	0.99841595	0	1	0.0	1.0
14	0	1	0.0025662757	0.99861795	0	1	0.0	1.0
15	0	1	0.0056899204	0.9967776	0	1	0.003	0.997
16	0	1	0.0105730975	0.9941224	0	1	0.0	1.0
17	0	1	0.0038938967	0.99792945	0	1	0.002	0.998
18	0	1	0.0064306785	0.99644136	0	1	0.0	1.0
19	0	1	0.005705223	0.99691796	0	1	0.0	1.0
20	0	1	0.01969154	0.98863673	0	1	0.009	0.991
21	1	0	0.025239278	0.9851186	1	0	0.996	0.004
22	0	1	0.0055530495	0.99697304	0	1	0.001	0.999
23	0	1	0.008281088	0.9953085	0	1	0.003	0.997
24	0	1	0.0056573288	0.9969294	0	1	0.0	1.0
25	0	1	0.011814794	0.9929905	0	1	0.005	0.995
26	0	1	0.009471917	0.9946661	0	1	0.0	1.0
27	0	1	0.047532354	0.970214	0	1	0.027	0.973
28	0	1	0.00929041	0.9948369	0	1	0.0	1.0
29	0	1	0.017468726	0.9904207	0	1	0.002	0.998
30	0	1	0.030751036	0.98258126	0	1	0.011	0.989
31	0	1	0.012425279	0.9934068	0	1	0.004	0.996
32	1	0	0.4189527	0.713977	1	0	0.962	0.038
33	1	0	0.057724446	0.9655818	0	1	0.561	0.439
34	0	1	0.012272312	0.99338615	0	1	0.0	1.0
