sample	total_contigs	total_length	contigs_>=_0	length_>=_0	contigs_with_label_>=_0	contigs_>=_100	length_>=_100	contigs_with_label_>=_100	contigs_>=_1000	length_>=_1000	contigs_with_label_>=_1000
1	450.0	5113896.0	450	5113896	14	308	5109095	14	112	5052295	14
2	406.0	5047956.0	406	5047956	12	318	5045162	12	121	4987629	12
3	402.0	5048372.0	402	5048372	12	311	5045184	12	117	4988092	12
4	213.0	5202373.0	213	5202373	11	136	5200280	11	47	5170946	11
5	227.0	5201922.0	227	5201922	11	143	5199574	11	49	5169189	11
6	231.0	5200983.0	231	5200983	11	147	5198425	11	50	5166625	11
7	511.0	5139764.0	511	5139764	16	356	5135328	16	102	5058373	16
8	333.0	5247124.0	333	5247124	12	210	5242579	12	90	5207707	12
9	250.0	5253772.0	250	5253772	15	174	5251072	15	79	5223396	15
10	327.0	5160513.0	327	5160513	9	243	5157714	9	103	5113161	9
11	274.0	5055203.0	274	5055203	10	192	5053268	10	89	5020351	10
12	510.0	5114404.0	510	5114404	8	349	5108552	8	118	5044317	8
13	443.0	5293954.0	443	5293954	18	293	5289452	18	95	5230559	17
14	214.0	4820884.0	214	4820884	12	148	4818928	12	100	4805569	12
15	291.0	5127202.0	291	5127202	12	221	5125320	12	104	5092752	12
16	198.0	4986911.0	198	4986911	12	124	4984716	12	60	4966911	12
17	354.0	5144340.0	354	5144340	10	235	5140496	10	72	5094263	10
18	484.0	5221290.0	484	5221290	12	327	5217233	12	114	5155466	12
19	289.0	5010365.0	289	5010365	7	178	5006819	7	74	4972013	7
20	248.0	4928955.0	248	4928955	14	156	4926440	14	71	4899311	14
21	233.0	4929179.0	233	4929179	14	145	4926521	14	66	4900278	14
22	216.0	4929830.0	216	4929830	14	142	4928044	14	68	4902567	14
23	314.0	4949790.0	314	4949790	9	193	4945821	9	97	4917622	9
24	208.0	4887393.0	208	4887393	8	134	4885425	8	57	4861408	8
25	276.0	4924045.0	276	4924045	10	198	4922015	10	79	4887242	10
26	303.0	5280368.0	303	5280368	15	205	5277633	15	71	5236682	15
27	316.0	5279302.0	316	5279302	15	214	5276690	15	73	5234863	15
28	373.0	5323311.0	373	5323311	11	261	5320413	11	81	5267775	11
29	181.0	4957880.0	181	4957880	13	136	4956566	13	57	4933152	13
30	346.0	5202860.0	346	5202860	15	259	5200853	15	71	5143130	15
31	478.0	5218637.0	478	5218637	6	329	5213865	6	142	5156498	6
32	198.0	5131434.0	198	5131434	15	141	5129608	15	51	5101725	15
33	242.0	5127557.0	242	5127557	14	167	5125319	14	61	5093295	14
34	223.0	5128091.0	223	5128091	14	156	5126087	14	59	5096797	14
35	990.0	5202117.0	990	5202117	5	602	5188414	5	159	5054650	5
36	389.0	5180745.0	389	5180745	10	259	5177263	10	76	5121068	10
37	591.0	5227083.0	591	5227083	6	431	5221369	6	140	5130171	6
38	514.0	5080296.0	514	5080296	10	370	5075088	10	121	5001795	10
39	511.0	5204983.0	511	5204983	8	365	5201299	8	104	5124597	8
40	228.0	5070443.0	228	5070443	10	154	5068485	10	66	5042489	10
41	227.0	5070648.0	227	5070648	10	147	5068345	10	65	5043983	10
42	264.0	4814110.0	264	4814110	7	182	4811917	7	87	4777386	7
43	262.0	4948023.0	262	4948023	10	182	4945457	10	68	4906591	10
44	274.0	4946415.0	274	4946415	10	188	4943624	10	71	4903689	10
45	587.0	5299004.0	587	5299004	10	383	5293934	10	103	5200527	10
46	312.0	5117677.0	312	5117677	13	175	5114690	13	61	5075139	13
47	440.0	5276278.0	440	5276278	13	294	5272972	13	92	5206595	13
48	257.0	5001542.0	257	5001542	9	173	4998530	9	72	4970415	9
49	294.0	5052474.0	294	5052474	10	220	5049790	10	88	5010663	10
50	401.0	5201001.0	401	5201001	11	297	5197922	11	94	5136159	11
51	360.0	5179489.0	360	5179489	10	258	5176274	10	87	5121882	10
52	334.0	5206473.0	334	5206473	11	247	5203885	11	86	5154005	11
total			17797	265668661	584	12176	265499755	584	4440	263133763	583
