contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.0009230293	0.99953145	0	1	0.0	1.0
2	0	1	0.0009358662	0.9995012	0	1	0.0	1.0
3	0	1	0.0065629333	0.99578416	0	1	0.0	1.0
4	0	1	0.0021998023	0.9988393	0	1	0.0	1.0
5	0	1	0.0041941563	0.9977319	0	1	0.0	1.0
6	0	1	0.0036235633	0.99802196	0	1	0.0	1.0
7	0	1	0.003163718	0.99834776	0	1	0.0	1.0
8	0	1	0.009195893	0.9949672	0	1	0.0	1.0
9	0	1	0.006870129	0.9960716	0	1	0.0	1.0
10	0	1	0.0061801076	0.99673605	0	1	0.0	1.0
11	0	1	0.0042121476	0.9977673	0	1	0.0	1.0
12	0	1	0.0076636444	0.99564135	0	1	0.0	1.0
13	0	1	0.0113607785	0.9932486	0	1	0.0	1.0
14	0	1	0.012203506	0.99312186	0	1	0.0	1.0
15	0	1	0.008199759	0.9954049	0	1	0.0	1.0
16	0	1	0.007996135	0.99554074	0	1	0.0	1.0
17	0	1	0.004045719	0.99786764	0	1	0.0	1.0
18	0	1	0.01472169	0.9905648	0	1	0.017	0.983
19	0	1	0.026582537	0.98324805	0	1	0.0	1.0
20	0	1	0.009438595	0.9946834	0	1	0.0	1.0
21	0	1	0.018377006	0.98981845	0	1	0.179	0.821
22	0	1	0.05114035	0.9685168	0	1	0.0	1.0
23	0	1	0.008862553	0.9947307	0	1	0.001	0.999
24	0	1	0.014707469	0.99141836	0	1	0.0	1.0
25	0	1	0.015065986	0.9912933	0	1	0.0	1.0
26	1	0	0.44773296	0.7086266	1	0	0.998	0.002
27	0	1	0.65615773	0.47727588	0	1	0.216	0.784
28	0	1	0.01141082	0.99357104	0	1	0.0	1.0
29	0	1	0.048123777	0.97100484	0	1	0.0	1.0
30	0	1	0.3261127	0.77823806	0	1	0.595	0.405
31	0	1	0.014760022	0.9919981	0	1	0.0	1.0
32	0	1	0.036725756	0.9776858	0	1	0.213	0.787
33	0	1	0.031676553	0.9818785	0	1	0.281	0.719
34	0	1	0.020681385	0.98826253	0	1	0.009	0.991
35	0	1	0.03095208	0.98111886	0	1	0.274	0.726
36	0	1	0.025037006	0.9856805	0	1	0.008	0.992
37	0	1	0.046819177	0.9713262	0	1	0.002	0.998
38	0	1	0.6285036	0.49794284	0	1	0.216	0.784
39	0	1	0.07401019	0.95208323	0	1	0.545	0.455
40	1	0	0.6993166	0.4409425	1	0	0.826	0.174
41	1	0	0.36576536	0.74966466	1	0	0.899	0.101
42	1	0	0.13190669	0.9105065	1	0	0.997	0.003
43	0	1	0.061154958	0.96380305	0	1	0.416	0.584
44	0	1	0.026349759	0.9852186	0	1	0.015	0.985
45	0	1	0.064627	0.96088934	0	1	0.041	0.959
46	0	1	0.0402909	0.9768171	0	1	0.006	0.994
47	0	1	0.07066079	0.9574845	0	1	0.009	0.991
48	0	1	0.049037024	0.9718969	0	1	0.002	0.998
49	0	1	0.042195346	0.97613347	0	1	0.02	0.98
50	1	0	0.21452059	0.85542905	0	1	0.716	0.284
51	0	1	0.019541964	0.9895222	0	1	0.05	0.95
52	0	1	0.42903218	0.7165576	0	1	0.241	0.759
53	0	1	0.0848478	0.95006937	0	1	0.051	0.949
54	1	0	0.75995916	0.3683953	1	0	0.782	0.218
55	0	1	0.58733827	0.58291674	0	1	0.519	0.481
56	0	1	0.9996117	0.010002629	1	0	0.912	0.088
57	0	1	0.6995249	0.4321188	0	1	0.423	0.577
58	0	1	0.34835985	0.7759875	0	1	0.603	0.397
59	1	0	0.07269981	0.95787257	0	1	0.597	0.403
60	1	0	0.6045354	0.53108	1	0	0.861	0.139
61	1	0	0.48483023	0.67682916	1	0	0.862	0.138
62	0	1	0.27523583	0.82126725	0	1	0.239	0.761
63	1	0	0.64892864	0.48838654	0	1	0.426	0.574
64	0	1	0.98185253	0.14045149	1	0	0.774	0.226
65	0	1	0.5139071	0.6931049	0	1	0.134	0.866
66	0	1	0.99988866	0.003856115	0	1	0.228	0.772
67	0	1	0.065027334	0.96355873	0	1	0.665	0.335
68	0	1	0.022028653	0.9888143	0	1	0.094	0.906
69	0	1	0.65679765	0.47850758	0	1	0.264	0.736
70	0	1	0.18317936	0.89081854	0	1	0.123	0.877
71	1	0	0.9998343	0.011599916	1	0	0.901	0.099
72	0	1	0.033312302	0.9824024	0	1	0.097	0.903
73	0	1	0.18109705	0.89238787	0	1	0.328	0.672
74	1	0	0.7272948	0.4207865	1	0	0.53	0.47
75	0	1	0.01683718	0.9927757	0	1	0.101	0.899
76	0	1	0.046375327	0.9767779	0	1	0.228	0.772
77	0	1	0.032936394	0.9850887	0	1	0.125	0.875
78	0	1	0.024386467	0.9903904	0	1	0.196	0.804
79	0	1	0.9998379	0.0093016	1	0	0.373	0.627
80	1	0	0.55185485	0.6128945	1	0	0.692	0.308
81	0	1	0.27291653	0.8965353	0	1	0.126	0.874
82	0	1	0.11888821	0.9314152	0	1	0.224	0.776
83	1	0	0.89115316	0.9504468	0	1	0.499	0.501
84	0	1	0.5212927	0.6842528	0	1	0.121	0.879
85	1	0	0.999927	0.009020055	1	0	0.932	0.068
86	0	1	0.08437792	0.9557181	0	1	0.146	0.854
87	1	0	0.028476495	0.99889565	0	1	0.023	0.977
88	0	1	0.038343854	0.9847839	0	1	0.196	0.804
89	1	0	0.9996984	0.010720699	1	0	0.951	0.049
90	1	0	0.8512294	0.62429607	0	1	0.514	0.486
91	1	0	0.9997675	0.0108898645	1	0	0.823	0.177
92	0	1	0.04334709	0.9809382	0	1	0.23	0.77
93	0	1	0.024553346	0.99198127	0	1	0.188	0.812
94	0	1	0.01345557	0.9995551	0	1	0.101	0.899
95	0	1	0.0156034175	0.99551475	0	1	0.213	0.787
96	0	1	0.5952705	0.71626556	0	1	0.108	0.892
97	0	1	0.12421636	0.9325994	0	1	0.258	0.742
98	0	1	0.04331425	0.9960202	0	1	0.157	0.843
99	0	1	0.026015919	0.9921639	0	1	0.101	0.899
100	0	1	0.012236105	0.9991685	0	1	0.169	0.831
101	0	1	0.21414329	0.877447	0	1	0.316	0.684
102	0	1	0.5242612	0.87296915	0	1	0.38	0.62
103	0	1	0.021555444	0.99372554	0	1	0.177	0.823
104	0	1	0.5798617	0.7566695	0	1	0.398	0.602
105	0	1	0.082666315	0.96209097	0	1	0.231	0.769
106	0	1	0.4796428	0.74958086	0	1	0.195	0.805
107	0	1	0.49512127	0.7420102	0	1	0.169	0.831
108	0	1	0.13124351	0.93154514	0	1	0.157	0.843
109	0	1	0.064287834	0.97193015	0	1	0.178	0.822
110	1	0	0.86638737	0.5618808	0	1	0.264	0.736
111	0	1	0.3634254	0.8120189	0	1	0.23	0.77
112	0	1	0.01548839	0.99619937	0	1	0.246	0.754
113	0	1	0.014723587	0.99625254	0	1	0.232	0.768
114	0	1	0.019210327	0.99565303	0	1	0.212	0.788
115	0	1	0.035851043	0.998731	0	1	0.159	0.841
116	0	1	0.060772438	0.9757868	0	1	0.256	0.744
117	0	1	0.06151386	0.9751435	0	1	0.196	0.804
118	0	1	0.079529844	0.9891017	0	1	0.296	0.704
119	0	1	0.1670128	0.9144342	0	1	0.234	0.766
120	0	1	0.16803958	0.91426146	0	1	0.216	0.784
121	0	1	0.060138594	0.97485304	0	1	0.216	0.784
122	0	1	0.08075628	0.96659577	0	1	0.261	0.739
123	0	1	0.09581575	0.9902104	0	1	0.197	0.803
124	0	1	0.016309401	0.9968413	0	1	0.334	0.666
125	0	1	0.008237392	0.9987024	0	1	0.233	0.767
126	0	1	0.008190122	0.99870336	0	1	0.183	0.817
127	0	1	0.15776977	0.9380383	0	1	0.222	0.778
