contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.00026185162	0.99985963	0	1	0.0	1.0
2	0	1	0.003673674	0.9979763	0	1	0.0	1.0
3	0	1	0.0013650074	0.9991801	0	1	0.0	1.0
4	0	1	0.0008756004	0.99953604	0	1	0.0	1.0
5	0	1	0.0011948902	0.99938524	0	1	0.0	1.0
6	0	1	0.002066313	0.9989133	0	1	0.0	1.0
7	0	1	0.0019815217	0.99897	0	1	0.0	1.0
8	0	1	0.0025844064	0.99862814	0	1	0.0	1.0
9	0	1	0.0023432386	0.9987047	0	1	0.0	1.0
10	0	1	0.0035452154	0.99809694	0	1	0.003	0.997
11	0	1	0.005290388	0.9971016	0	1	0.0	1.0
12	0	1	0.0034498465	0.99803567	0	1	0.0	1.0
13	0	1	0.0047676675	0.9974394	0	1	0.0	1.0
14	0	1	0.0024091764	0.9986415	0	1	0.0	1.0
15	0	1	0.02012216	0.9883358	0	1	0.0	1.0
16	0	1	0.0036689641	0.99803644	0	1	0.0	1.0
17	0	1	0.007837928	0.99563265	0	1	0.001	0.999
18	0	1	0.011158068	0.9937397	0	1	0.03	0.97
19	0	1	0.0047492003	0.9974116	0	1	0.006	0.994
20	0	1	0.003701179	0.997753	0	1	0.002	0.998
21	0	1	0.0058892565	0.99682254	0	1	0.0	1.0
22	0	1	0.007240834	0.9955968	0	1	0.0	1.0
23	0	1	0.0017703408	0.9991604	0	1	0.0	1.0
24	0	1	0.006885396	0.99621224	0	1	0.0	1.0
25	0	1	0.022627084	0.9869379	0	1	0.057	0.943
26	1	0	0.0064871074	0.99626815	1	0	0.981	0.019
27	0	1	0.006012497	0.9969082	0	1	0.002	0.998
28	1	0	0.024738187	0.9853468	0	1	0.877	0.123
29	0	1	0.010025231	0.9941476	0	1	0.002	0.998
30	0	1	0.041142624	0.9758109	0	1	0.072	0.928
31	0	1	0.009741708	0.99469024	0	1	0.006	0.994
32	0	1	0.030556459	0.97939193	0	1	0.314	0.686
33	0	1	0.00903773	0.9949814	0	1	0.022	0.978
34	0	1	0.06228924	0.96168953	0	1	0.462	0.538
35	1	0	0.15028943	0.9002976	1	0	0.973	0.027
36	0	1	0.012279111	0.9929602	0	1	0.23	0.77
37	0	1	0.0042844526	0.9977714	0	1	0.945	0.055
38	0	1	0.07283628	0.95297754	1	0	0.963	0.037
39	0	1	0.043770947	0.97523344	0	1	0.204	0.796
40	0	1	0.3677228	0.76276666	0	1	0.179	0.821
41	0	1	0.010698754	0.9941375	0	1	0.654	0.346
42	1	0	0.0518725	0.9657377	0	1	0.819	0.181
43	0	1	0.045678187	0.97311693	0	1	0.127	0.873
44	1	0	0.034111846	0.9791398	0	1	0.635	0.365
45	1	0	0.019717073	0.9888805	1	0	0.784	0.216
46	1	0	0.34788284	0.732411	0	1	0.407	0.593
47	0	1	0.051631868	0.98708856	0	1	0.191	0.809
48	0	1	0.0791593	0.9522866	0	1	0.091	0.909
49	0	1	0.9999702	0.0039406554	1	0	0.756	0.244
50	0	1	0.06274051	0.9616256	0	1	0.196	0.804
51	1	0	0.1882837	0.8814759	1	0	0.788	0.212
52	0	1	0.2178243	0.87183785	0	1	0.13	0.87
53	1	0	0.658617	0.47585058	0	1	0.368	0.632
54	0	1	0.33584496	0.76605	0	1	0.206	0.794
55	0	1	0.90072584	0.21968892	0	1	0.167	0.833
56	0	1	0.048772957	0.9725492	0	1	0.327	0.673
57	1	0	0.038863983	0.99811095	0	1	0.02	0.98
58	0	1	0.039076366	0.9803208	0	1	0.106	0.894
59	0	1	0.04051896	0.97702014	0	1	0.223	0.777
60	0	1	0.062259667	0.987372	0	1	0.096	0.904
61	0	1	0.23998025	0.84954685	0	1	0.177	0.823
62	1	0	0.08140021	0.9954444	0	1	0.017	0.983
63	1	0	0.21138127	0.9997304	0	1	0.367	0.633
64	0	1	0.08297682	0.98055685	0	1	0.104	0.896
65	0	1	0.9999682	0.00949079	1	0	0.9	0.1
66	0	1	0.16683619	0.905018	0	1	0.211	0.789
67	1	0	0.99998856	0.004184565	1	0	0.926	0.074
68	0	1	0.018685348	0.9993167	0	1	0.028	0.972
69	1	0	0.0686773	0.9879536	0	1	0.328	0.672
70	0	1	0.032821685	0.9838487	0	1	0.205	0.795
71	0	1	0.16473472	0.90985596	0	1	0.36	0.64
72	0	1	0.045188997	0.99253136	0	1	0.233	0.767
73	0	1	0.01979711	0.99345326	0	1	0.299	0.701
74	0	1	0.68781245	0.624545	0	1	0.309	0.691
75	0	1	0.016877593	0.9942048	0	1	0.236	0.764
76	0	1	0.09724557	0.9857527	0	1	0.11	0.89
