contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.00071328535	0.9996292	0	1	0.0	1.0	0.0204013765012019	0.979598623498798	495460	1.0	0.5155855164897267
2	0	1	0.0011466271	0.99935585	0	1	0.0	1.0	0.0293535582221285	0.970646441777872	229255	1.0765513848203372	0.5142177924145602
3	0	1	0.0016867273	0.99910486	0	1	0.0	1.0	0.032901560807546	0.967098439192454	223232	1.0631075071626523	0.5105719610091743
4	0	1	0.0028047923	0.9985161	0	1	0.0	1.0	0.022249159292991	0.977750840707009	212242	0.8830199427747646	0.4999199027525183
5	0	1	0.004432611	0.99742043	0	1	0.0	1.0	0.0184660654516349	0.981533934548365	209427	1.042595077251182	0.5102923691787592
6	0	1	0.001777033	0.9990481	0	1	0.0	1.0	0.0328752752111876	0.967124724788812	202903	1.0754817579404374	0.5218256999650079
7	0	1	0.0029768678	0.9984472	0	1	0.0	1.0	0.0295277776160646	0.970472222383935	188286	0.9701964835244092	0.509846722539116
8	0	1	0.0039761765	0.9977988	0	1	0.0	1.0	0.0082448037859506	0.991755196214049	175221	0.9352812622673236	0.5025710388594974
9	0	1	0.004444468	0.9974842	0	1	0.0	1.0	0.0307426298765094	0.969257370123491	165358	0.9080567303953818	0.5016993432431451
10	0	1	0.0077398927	0.99583197	0	1	0.0	1.0	0.0171003115230829	0.982899688476917	147221	1.0950391675504023	0.5259575739874067
11	0	1	0.0030584487	0.99820805	0	1	0.0	1.0	0.0162750862007305	0.98372491379927	136755	1.040649882526644	0.4931300500895762
12	0	1	0.0034536414	0.9981647	0	1	0.0	1.0	0.0295265989036385	0.970473401096361	126774	0.9820655390005684	0.515996970987742
13	0	1	0.010642079	0.9941303	0	1	0.0	1.0	0.015716280372604	0.984283719627396	119182	1.0024490704664366	0.5139702304039201
14	0	1	0.0030480768	0.9983858	0	1	0.0	1.0	0.0362896400960384	0.963710359903962	105087	1.0816513062685658	0.5114048359930343
15	0	1	0.1597697	0.8970344	1	0	0.847	0.153	0.49125890292407	0.50874109707593	100424	0.6898527628210012	0.4733529833505935
16	0	1	0.00607321	0.99652827	0	1	0.0	1.0	0.0426975167194126	0.957302483280587	96974	1.0938556454589663	0.5214799843256955
17	0	1	0.0037979847	0.997941	0	1	0.0	1.0	0.0220614741452472	0.977938525854753	93021	1.051172682903965	0.509895614968663
18	0	1	0.020272655	0.98862517	0	1	0.04	0.96	0.0316593518191446	0.968340648180855	90568	1.0571530513043337	0.5005410299443512
19	0	1	0.004244527	0.99744976	0	1	0.0	1.0	0.0131594407500599	0.98684055924994	89489	0.9106733771978652	0.5023857680832281
20	0	1	0.015581448	0.99113774	0	1	0.0	1.0	0.0206282400481346	0.979371759951865	87762	0.9422827914716102	0.5074519723798455
21	0	1	0.0067556906	0.99620354	0	1	0.0	1.0	0.0377399089178189	0.962260091082181	73601	1.0311113975521016	0.5142049700411679
22	0	1	0.009427108	0.99470484	0	1	0.141	0.859	0.143752394223248	0.856247605776752	72443	1.0113723583142429	0.4975636017282553
23	0	1	0.0076278015	0.99553	0	1	0.005	0.995	0.0586251529588916	0.941374847041108	70537	1.0438464267512462	0.4855749464819882
24	0	1	0.014289776	0.991266	0	1	0.03	0.97	0.0694025887548957	0.930597411245104	63289	1.085125705279563	0.4982066393844112
25	0	1	0.009284883	0.99484205	0	1	0.548	0.452	0.100887714408408	0.899112285591592	61140	1.0442180258617153	0.5204612365063788
26	0	1	0.010780084	0.993461	0	1	0.1	0.9	0.0688495452001334	0.931150454799867	58264	0.8740779366874272	0.4745983797885487
27	0	1	0.005976504	0.9967155	0	1	0.0	1.0	0.0483865448561074	0.951613455143893	56893	1.063125084223416	0.5015731285043854
28	0	1	0.005560808	0.99697757	0	1	0.0	1.0	0.0215872537637392	0.978412746236261	56547	1.0374801525688877	0.5237943657488461
29	0	1	0.011778137	0.99296314	0	1	0.0	1.0	0.0103382095758504	0.98966179042415	54540	0.8990666580734371	0.5003850385038504
30	0	1	0.02293082	0.9869551	0	1	0.029	0.971	0.0197228427596958	0.980277157240304	51553	0.941901955155059	0.4841231354140399
31	0	1	0.008377474	0.9952014	0	1	0.0	1.0	0.0473070509927636	0.952692949007236	49346	1.059375311260451	0.512746727191667
32	0	1	0.021669853	0.9878975	0	1	0.0	1.0	0.0215719245331525	0.978428075466848	49329	1.0854889645353507	0.5195726651665349
33	0	1	0.006053382	0.9966804	0	1	0.0	1.0	0.0152452049120764	0.984754795087924	49089	1.1246623739578268	0.526309356474974
34	0	1	0.015713438	0.9905299	0	1	0.01	0.99	0.0112838857080146	0.988716114291985	48612	0.8992893008431131	0.4766107134040978
35	0	1	0.057010505	0.9654181	0	1	0.001	0.999	0.0314875459687572	0.968512454031243	42282	0.9973033436813792	0.4705075445816186
36	0	1	0.0073273736	0.99620426	0	1	0.0	1.0	0.0220793833656793	0.977920616634321	41492	1.0843196757189482	0.4949146823484045
37	0	1	0.05286463	0.96870315	0	1	0.0	1.0	0.0159707124332679	0.984029287566732	41368	0.896296307564005	0.4932073099980661
38	0	1	0.008403454	0.9949763	0	1	0.002	0.998	0.0067512820732712	0.993248717926729	41233	1.0202487740000117	0.4972473504232047
39	0	1	0.0107702585	0.99400866	0	1	0.0	1.0	0.0073876376275356	0.992612362372464	39168	0.8983811527036449	0.4958384395424836
40	0	1	0.012597557	0.9927594	0	1	0.0	1.0	0.105510246859024	0.894489753140976	39038	1.1395442854045947	0.5258209949280188
41	0	1	0.033455256	0.9802677	0	1	0.001	0.999	0.0237190854387297	0.97628091456127	38005	0.8707207180815224	0.4967241152479937
42	0	1	0.026142985	0.98416746	0	1	0.001	0.999	0.0133450081069976	0.986654991893002	36612	0.8819583189299086	0.4859882005899705
43	0	1	0.013763112	0.99175096	0	1	0.023	0.977	0.0102398436483182	0.989760156351682	32609	1.0115767011570196	0.4846208102057714
44	0	1	0.010754974	0.99443483	0	1	0.0	1.0	0.104769632751521	0.895230367248479	30733	1.128781265196834	0.5326847362769661
45	0	1	0.014245969	0.9917718	0	1	0.002	0.998	0.0769790033528439	0.923020996647156	21856	1.0668104079635805	0.5008235724743777
46	0	1	0.010304303	0.99396336	0	1	0.002	0.998	0.0149601705312699	0.98503982946873	20541	1.0590003339641547	0.4967138892945815
