Assembly_Name	NCBI BioSample	Short Read SRA Accession	Long Read SRA Accession	GenBank Assembly Accession 
EC_0012_3S1_D	SAMN32247291	SRR22784491	SRR22784490	GCA_027279255.1
EC_0012_C1_H	SAMN32247430	SRR22784446	SRR22784445	GCA_027274605.1
EC_0012_C5_H	SAMN32247353	SRR22784901	SRR22784900	GCA_027276285.1 
EC_0038_1S2_D	SAMN32247466	SRR22784558	SRR22784557	GCA_027274885.1
EC_0038_2L3_D	SAMN32247399	SRR22784612	SRR22784611	GCA_027276665.1
EC_0038_3S2_D	SAMN32247508	SRR22784687	SRR22784686	GCA_027275225.1
EC_0205_2L2_D	SAMN32247441	SRR22784582	SRR22784581	GCA_027273885.1
EC_0205_3H1_D	SAMN32247347	SRR22784734	SRR22784733	GCA_027276365.1
EC_0205_3S1_D	SAMN32247396	SRR22784620	SRR22784619	GCA_027275545.1
EC_0205_C4_H	SAMN32247348	SRR22784731	SRR22784730	GCA_027278085.1
EC_0205_C9_H	SAMN32247335	SRR22784912	SRR22784911	GCA_027278365.1
EC_0731_1H1_D	SAMN32247496	SRR22784523	SRR22784522	GCA_027275325.1
EC_2655_2S2_D	SAMN32247519	SRR22784811	SRR22784810	GCA_027271665.1
EC_3862_S1_D	SAMN32247267	SRR22784959	SRR22784948	GCA_027279305.1
EC_4957_C1_H	SAMN32247345	SRR22784738	SRR22784737	GCA_027278175.1
EC_4957_C6_H	SAMN32247522	SRR22784805	SRR22784804	GCA_027274365.1
EC_4984_6H1_D	SAMN32247354	SRR22784898	SRR22784897	GCA_027276155.1
EC_6041_C5_H	SAMN32247494	SRR22784528	SRR22784526	GCA_027274445.1
EC_6245_1H1_D	SAMN32247518	SRR22784665	SRR22784664	GCA_027271385.1
EC_6245_1S2_D	SAMN32247290	SRR22784494	SRR22784493	GCA_027279125.1
EC_6245_2L1_D	SAMN32247272	SRR22784880	SRR22784655	GCA_027279365.1
EC_6245_C4_H	SAMN32247397	SRR22784617	SRR22784616	GCA_027276685.1
EC_6245_C5_H	SAMN32247476	SRR22784536	SRR22784535	GCA_027275385.1
EC_7578_1L2_D	SAMN32247314	SRR22784962	SRR22784961	GCA_027278685.1
EC_8630_1H1_D	SAMN32247268	SRR22784937	SRR22784926	GCA_027279285.1
EC_8630_1S1_D	SAMN32247480	SRR22784431	SRR22784430	GCA_027273615.1
EC_8630_3H2_D	SAMN32247411	SRR22784712	SRR22784711	GCA_027275235.1
EC_9226_1H3_D	SAMN32247400	SRR22784609	SRR22784608	GCA_027276575.1
EC_9226_C2_H	SAMN32247365	SRR22784659	SRR22784658	GCA_027275905.1
EC_9226_C5_H	SAMN32247327	SRR22784932	SRR22784931	GCA_027278465.1
EC_9503_1H3_D	SAMN32247493	SRR22784530	SRR22784529	GCA_027274275.1
EC_9503_1L1_D	SAMN32247505	SRR22784693	SRR22784692	GCA_027274295.1
EC_9503_1S2_D	SAMN32247303	SRR22784775	SRR22784774	GCA_027278645.1
EC_9619_1H1_D	SAMN32247425	SRR22784457	SRR22784456	GCA_027274625.1
EC_9619_1H3_D	SAMN32247523	SRR22784803	SRR22784801	GCA_027274345.1
EC_9619_C1_H	SAMN32247534	SRR22784781	SRR22784501	GCA_027271535.1
EC_9619_C6_H	SAMN32247308	SRR22784763	SRR22784762	GCA_027278865.1
EC_E11BE_1_E	SAMN32247333	SRR22784917	SRR22784916	GCA_027278395.1
EC_E12DN_1_E	SAMN32247475	SRR22784538	SRR22784537	GCA_027273585.1
EC_E12F_1_E	SAMN32247449	SRR22784842	SRR22784840	GCA_027274045.1
EC_E12F_2_E	SAMN32247488	SRR22784413	SRR22784412	GCA_027273535.1
EC_E13DN_1_E	SAMN32247305	SRR22784771	SRR22784770	GCA_027278805.1
EC_E13DN_4_E	SAMN32247512	SRR22784678	SRR22784677	GCA_027274325.1
EC_E13FP_1_E	SAMN32247404	SRR22784601	SRR22784600	GCA_027276905.1
EC_E13L_1_E	SAMN32247302	SRR22784777	SRR22784776	GCA_027278965.1
EC_E16BF_1_E	SAMN32247515	SRR22784671	SRR22784670	GCA_027274165.1
EC_E4BF_2_E	SAMN32247363	SRR22784877	SRR22784662	GCA_027276125.1
EC_E5F_2_E	SAMN32247471	SRR22784547	SRR22784546	GCA_027274895.1
EC_E8BE_1_E	SAMN32247520	SRR22784809	SRR22784808	GCA_027271405.1
EC_E8FP_1_E	SAMN32247319	SRR22784950	SRR22784949	GCA_027278635.1
EC_E8L_1_E	SAMN32247483	SRR22784425	SRR22784424	GCA_027275065.1
