contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.00026365498	0.99987197	0	1	0.0	1.0
2	0	1	0.0018381566	0.99904084	0	1	0.0	1.0
3	0	1	0.0017225267	0.9989343	0	1	0.0	1.0
4	0	1	0.0013835906	0.9992449	0	1	0.0	1.0
5	0	1	0.0037291173	0.9979495	0	1	0.0	1.0
6	0	1	0.003281024	0.99791	0	1	0.0	1.0
7	0	1	0.0041492116	0.9977236	0	1	0.0	1.0
8	0	1	0.0022413912	0.99879473	0	1	0.0	1.0
9	0	1	0.0049656276	0.99706745	0	1	0.0	1.0
10	0	1	0.0026957989	0.99839556	0	1	0.0	1.0
11	0	1	0.004720804	0.9973232	0	1	0.0	1.0
12	0	1	0.0050207083	0.9973193	0	1	0.0	1.0
13	0	1	0.00988041	0.99410784	0	1	0.0	1.0
14	0	1	0.0055995155	0.9970002	0	1	0.0	1.0
15	0	1	0.0066860784	0.9956283	0	1	0.0	1.0
16	0	1	0.0052666236	0.9971173	0	1	0.0	1.0
17	0	1	0.008629368	0.9951153	0	1	0.025	0.975
18	0	1	0.010235629	0.9942182	0	1	0.001	0.999
19	0	1	0.0067330757	0.99622	0	1	0.0	1.0
20	1	0	0.06530663	0.9592725	1	0	0.974	0.026
21	0	1	0.0060810572	0.9967012	0	1	0.004	0.996
22	0	1	0.0079597235	0.99571276	0	1	0.02	0.98
23	0	1	0.01691992	0.9905039	0	1	0.0	1.0
24	0	1	0.008640241	0.9952498	0	1	0.0	1.0
25	0	1	0.0063270223	0.9964652	0	1	0.0	1.0
26	0	1	0.0063079563	0.9964863	0	1	0.0	1.0
27	0	1	0.0072291545	0.9960596	0	1	0.0	1.0
28	0	1	0.0048122383	0.99740016	0	1	0.0	1.0
29	0	1	0.014898685	0.9915575	0	1	0.152	0.848
30	0	1	0.007983823	0.995648	0	1	0.0	1.0
31	0	1	0.006704312	0.996274	0	1	0.0	1.0
32	0	1	0.013677018	0.9914712	0	1	0.0	1.0
33	0	1	0.008325681	0.9954958	0	1	0.118	0.882
34	0	1	0.01547583	0.9912744	0	1	0.0	1.0
35	0	1	0.016554615	0.98902524	0	1	0.007	0.993
36	0	1	0.9441639	0.12436468	1	0	0.954	0.046
37	0	1	0.039755236	0.975554	0	1	0.795	0.205
38	0	1	0.023851003	0.98672545	0	1	0.001	0.999
39	0	1	0.023293337	0.98649114	0	1	0.019	0.981
40	0	1	0.024559658	0.98611325	0	1	0.008	0.992
41	0	1	0.02798814	0.984058	0	1	0.001	0.999
42	0	1	0.012629869	0.9930603	0	1	0.0	1.0
43	0	1	0.04725514	0.97261786	0	1	0.183	0.817
44	0	1	0.017982384	0.98840314	0	1	0.003	0.997
45	0	1	0.033261187	0.9790542	0	1	0.037	0.963
46	0	1	0.04635007	0.97384405	0	1	0.181	0.819
47	0	1	0.06628097	0.9585812	0	1	0.008	0.992
48	0	1	0.40251935	0.76136833	0	1	0.587	0.413
49	0	1	0.017884528	0.9900766	0	1	0.102	0.898
50	0	1	0.066508934	0.9628341	0	1	0.097	0.903
51	0	1	0.7597623	0.35649115	1	0	0.828	0.172
52	0	1	0.07155979	0.95950496	0	1	0.216	0.784
53	0	1	0.024222283	0.9867867	0	1	0.004	0.996
54	0	1	0.76649904	0.33898458	0	1	0.277	0.723
55	0	1	0.03678333	0.9770727	0	1	0.067	0.933
56	0	1	0.013641802	0.9932784	0	1	0.089	0.911
57	0	1	0.027227663	0.9863089	0	1	0.042	0.958
58	1	0	0.11133572	0.94060886	0	1	0.129	0.871
59	0	1	0.5429225	0.68625474	0	1	0.509	0.491
60	0	1	0.2926097	0.9916054	0	1	0.474	0.526
61	0	1	0.78336763	0.33150843	1	0	0.362	0.638
62	0	1	0.0066588577	0.9984987	0	1	0.281	0.719
63	0	1	0.15332696	0.9122546	0	1	0.249	0.751
64	0	1	0.024434654	0.9892671	0	1	0.275	0.725
65	0	1	0.09866824	0.95030856	0	1	0.192	0.808
66	0	1	0.02878562	0.9881506	0	1	0.139	0.861
67	0	1	0.03929917	0.9823898	0	1	0.314	0.686
68	1	0	0.5517322	0.87773967	0	1	0.29	0.71
69	0	1	0.0038466905	0.999483	0	1	0.249	0.751
70	0	1	0.046918813	0.9979061	0	1	0.112	0.888
71	0	1	0.11140878	0.9981967	0	1	0.113	0.887
72	0	1	0.029401546	0.98878706	0	1	0.258	0.742
73	0	1	0.019553222	0.99451625	0	1	0.259	0.741
74	0	1	0.011148182	0.99969363	0	1	0.146	0.854
75	0	1	0.02839157	0.99885887	0	1	0.1	0.9
76	1	0	0.7007904	0.9871839	0	1	0.709	0.291
77	0	1	0.0072202855	0.9998613	0	1	0.043	0.957
78	0	1	0.07489663	0.98954886	0	1	0.048	0.952
79	0	1	0.008142357	0.9980506	0	1	0.247	0.753
80	0	1	0.0086981375	0.99796575	0	1	0.182	0.818
81	0	1	0.03251567	0.98653066	0	1	0.12	0.88
