contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content	matepair	mobility	origintransfer	replicon	moblabel_chr	moblabel_pls	pfamscore_chr	pfamscore_pls	pfamlabel_chr	pfamlabel_pls	chromosome	plasmid
EC_0012_3S1_D_1	0	1	0.0012362851	0.99934745	0	1	0.0	1.0	0.0179681031361192	0.982031896863881	628097	1.0	0.5111981111197793	0.0	0.0	0.0	0.0	1	0	11.18969018877116	-1285.2347990327771	1	0	1	0
EC_0012_3S1_D_2	0	1	0.002485561	0.9987184	0	1	0.0	1.0	0.0247663346742037	0.975233665325796	375823	1.0083723691018514	0.515205296110137	0.0	0.0	0.0	0.0	1	0	7.8806867538815935	-810.1067511141966	1	0	1	0
EC_0012_3S1_D_3	0	1	0.0056920773	0.99656045	0	1	0.0	1.0	0.0217857237024069	0.978214276297593	279739	0.9966510061295704	0.5098180804249676	0.0	0.0	0.0	0.0	1	0	-0.2956225687921643	-448.0870841525741	0	0	1	0
EC_0012_3S1_D_4	0	1	0.0066045304	0.9963763	0	1	0.0	1.0	0.0318758629286084	0.968124137071392	244343	0.9373378351914922	0.4910842545110766	0.0	0.0	0.0	0.0	1	0	1.4881156744342636	-376.62646373909206	1	0	1	0
EC_0012_3S1_D_5	0	1	0.017299311	0.98941	0	1	0.0	1.0	0.0269053223362372	0.973094677663763	214351	1.0274752640511036	0.5194890623323427	0.0	0.0	0.0	0.0	1	0	2.480699444500514	-465.92363896425815	1	0	1	0
EC_0012_3S1_D_6	0	1	0.013633303	0.9924284	0	1	0.0	1.0	0.0220638688321185	0.977936131167881	197388	1.011926426196661	0.5124070358887065	0.0	0.0	0.0	0.0	1	0	2.9786281006739816	-327.56366167799126	1	0	1	0
EC_0012_3S1_D_7	0	1	0.013473542	0.9920485	0	1	0.0	1.0	0.047468184489556	0.952531815510444	188868	0.9907581332916304	0.5026950039180803	0.0	0.0	0.0	0.0	1	0	3.030191283699879	-336.0699410538133	1	0	1	0
EC_0012_3S1_D_8	0	1	0.0053770896	0.99680215	0	1	0.0	1.0	0.0339197041317464	0.966080295868254	181613	1.0248813926737197	0.5148860489061906	0.0	0.0	0.0	0.0	1	0	3.96275968712723	-378.51246592168656	1	0	1	0
EC_0012_3S1_D_9	0	1	0.0075673754	0.99599004	0	1	0.0	1.0	0.0278837909554458	0.972116209044554	171192	0.9949097665364308	0.5049184541333707	0.0	0.0	0.0	0.0	1	0	3.907429610856484	-361.76019593185737	1	0	1	0
EC_0012_3S1_D_10	0	1	0.0058845207	0.99643135	0	1	0.0	1.0	0.0272092979704767	0.972790702029523	157907	0.991833647860299	0.5122635475311418	0.0	0.0	0.0	0.0	1	0	2.502053037287092	-357.194920349088	1	0	1	0
EC_0012_3S1_D_11	0	1	0.008259843	0.9954795	0	1	0.0	1.0	0.01918851628064	0.98081148371936	148605	1.0146198465094296	0.5179502708522593	0.0	0.0	0.0	0.0	1	0	1.69705696028847	-244.90680027666968	1	0	1	0
EC_0012_3S1_D_12	0	1	0.011213488	0.99375284	0	1	0.0	1.0	0.0237885691267443	0.976211430873256	144131	0.9575414697307624	0.5021265376636532	0.0	0.0	0.0	0.0	1	0	2.896355876931932	-316.0698853079808	1	0	1	0
EC_0012_3S1_D_13	0	1	0.009309249	0.9944465	0	1	0.0	1.0	0.0116426253222234	0.988357374677777	130562	0.9656576608921746	0.5015241800830257	0.0	0.0	0.0	0.0	1	0	1.0364479872770005	-250.87406279410132	1	0	1	0
