contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0014404568	0.999277	0	1	0.0	1.0	0.0288817960652455	0.971118203934754	340914	0.9359140741839396	0.5106889127463231
2	0	1	0.0018594376	0.9990202	0	1	0.001	0.999	0.0435114010133864	0.956488598986614	280558	0.9989790152843157	0.5173154926966973
3	0	1	0.0043455935	0.99771047	0	1	0.0	1.0	0.0264315339659753	0.973568466034025	267740	1.0768328013547963	0.5126353925450063
4	0	1	0.001721991	0.99912053	0	1	0.0	1.0	0.033691939817806	0.966308060182194	260826	1.051822462827691	0.513208039075859
5	0	1	0.0012764303	0.9993222	0	1	0.0	1.0	0.0404106543696816	0.959589345630318	256421	1.0496224059722892	0.5180035956493423
6	0	1	0.0017436394	0.99905336	0	1	0.0	1.0	0.0170791513102301	0.98292084868977	244415	0.9530226062021828	0.5132540965161713
7	0	1	0.0028530178	0.9984901	0	1	0.0	1.0	0.0273333104222748	0.972666689577725	210627	1.0878885634123128	0.5123464703005788
8	0	1	0.0031844147	0.9983505	0	1	0.0	1.0	0.0170642891273456	0.982935710872654	206563	0.8712740872125003	0.5002105895053809
9	0	1	0.0018641528	0.99895555	0	1	0.0	1.0	0.0257271027851227	0.974272897214877	182168	1.0	0.5170337271090422
10	0	1	0.0020827914	0.9989042	0	1	0.0	1.0	0.0332612704468688	0.966738729553131	180569	1.0684168242550087	0.4855041563058996
11	0	1	0.0034109685	0.9980617	0	1	0.0	1.0	0.019748284870527	0.980251715129473	177911	0.8564024345772345	0.4970518967348843
12	0	1	0.0027691117	0.9985193	0	1	0.002	0.998	0.0405147800236471	0.959485219976353	177753	0.9180048855281738	0.4991026874370615
13	0	1	0.006900783	0.9962029	0	1	0.004	0.996	0.0166877092331528	0.983312290766847	146658	0.88719025221844	0.4870242332501466
14	0	1	0.0048451787	0.997406	0	1	0.0	1.0	0.0225185745864701	0.97748142541353	136649	0.9131348338215484	0.511712489663298
15	0	1	0.0039531924	0.99786127	0	1	0.0	1.0	0.0108875643089565	0.989112435691043	133615	0.8777163904235727	0.4995621749055121
16	0	1	0.006873971	0.99619794	0	1	0.0	1.0	0.0126961069611717	0.987303893038828	106710	0.9160764828754002	0.5102895698622435
17	0	1	0.005304899	0.99704367	0	1	0.0	1.0	0.0172723718266384	0.982727628173362	104404	0.9372093885572323	0.513323244320141
18	0	1	0.0060709347	0.99656093	0	1	0.0	1.0	0.016621230026043	0.983378769973957	97002	0.9910468164646812	0.5048452609224552
19	0	1	0.0037474062	0.99805844	0	1	0.0	1.0	0.0180182019339052	0.981981798066095	94947	0.9559494234120658	0.5240818561934553
20	0	1	0.003671155	0.9980202	0	1	0.001	0.999	0.0589602786660174	0.941039721333983	92484	1.1070735535862162	0.4951234808183037
21	0	1	0.005745663	0.996853	0	1	0.0	1.0	0.0202975855136829	0.979702414486317	88792	0.8623110484877698	0.5000563113794035
22	0	1	0.00477749	0.9974103	0	1	0.0	1.0	0.0687799895111156	0.931220010488884	88165	1.0680781638177168	0.5256167413372653
23	0	1	0.003245216	0.9981756	0	1	0.0	1.0	0.0341309405666887	0.965869059433311	88151	1.0702806926471131	0.5077423965695228
24	0	1	0.0048159766	0.9971628	0	1	0.005	0.995	0.0292541477052644	0.970745852294736	84597	1.104108361147627	0.4843788786836412
25	0	1	0.019220369	0.9888749	0	1	0.0	1.0	0.0089952152702922	0.991004784729708	77829	0.9271163187363268	0.4874789602847267
26	0	1	0.0051983614	0.99712545	0	1	0.0	1.0	0.0424024057522407	0.957597594247759	74394	1.08748810362515	0.5076215823856762
27	0	1	0.006114915	0.9967264	0	1	0.0	1.0	0.0144488220797079	0.985551177920292	71492	1.089255565031456	0.5122531192301236
28	0	1	0.004353054	0.997595	0	1	0.0	1.0	0.0373999464406287	0.962600053559371	70778	1.0752444164287391	0.5232558139534884
29	1	0	0.046641883	0.97217005	1	0	0.987	0.013	0.836424100156586	0.163575899843414	70699	0.8758311420326133	0.5178998288518932
30	0	1	0.009078824	0.99505115	0	1	0.151	0.849	0.138265559673652	0.861734440326348	70522	0.9253884089139384	0.4897762400385695
31	0	1	0.0050695413	0.99722093	0	1	0.005	0.995	0.0817833980975378	0.918216601902462	68456	1.1125267282188194	0.5037834521444432
