contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.0014239101	0.99913526	0	1	0.0	1.0
2	0	1	0.0014255997	0.9992644	0	1	0.001	0.999
3	0	1	0.0017478592	0.9989372	0	1	0.0	1.0
4	0	1	0.0040142736	0.9975292	0	1	0.0	1.0
5	0	1	0.0053964425	0.99706554	0	1	0.0	1.0
6	0	1	0.0035983254	0.99805003	0	1	0.0	1.0
7	0	1	0.0022214623	0.9988415	0	1	0.0	1.0
8	0	1	0.004430022	0.99760455	0	1	0.0	1.0
9	0	1	0.005203705	0.9971426	0	1	0.0	1.0
10	0	1	0.0022977071	0.9987848	0	1	0.0	1.0
11	0	1	0.015886974	0.99068844	0	1	0.0	1.0
12	0	1	0.03854219	0.9745424	0	1	0.0	1.0
13	0	1	0.009651659	0.9941246	0	1	0.0	1.0
14	0	1	0.004305613	0.9976181	0	1	0.0	1.0
15	0	1	0.004598248	0.99748874	0	1	0.0	1.0
16	0	1	0.0045341128	0.99756837	0	1	0.0	1.0
17	0	1	0.004689744	0.9974631	0	1	0.0	1.0
18	0	1	0.0051946775	0.99700737	0	1	0.0	1.0
19	0	1	0.005208563	0.9971386	0	1	0.0	1.0
20	0	1	0.0057165627	0.9966469	0	1	0.0	1.0
21	0	1	0.042024415	0.9738012	0	1	0.009	0.991
22	0	1	0.0064605824	0.99593866	0	1	0.0	1.0
23	0	1	0.019804826	0.9883577	0	1	0.185	0.815
24	0	1	0.0064638904	0.99647105	0	1	0.0	1.0
25	0	1	0.018584719	0.98966897	1	0	0.998	0.002
26	0	1	0.018157046	0.9897362	0	1	0.004	0.996
27	0	1	0.006040594	0.99643594	0	1	0.001	0.999
28	0	1	0.006787499	0.9960032	0	1	0.0	1.0
29	0	1	0.02010319	0.98843926	0	1	0.001	0.999
30	0	1	0.08901647	0.9434548	0	1	0.395	0.605
31	0	1	0.01201123	0.9933092	0	1	0.013	0.987
32	0	1	0.008227702	0.99555755	0	1	0.012	0.988
33	1	0	0.026881479	0.9852945	1	0	0.923	0.077
34	0	1	0.010843958	0.9939642	0	1	0.0	1.0
35	0	1	0.012550448	0.99314857	0	1	0.001	0.999
36	0	1	0.046582483	0.9706038	0	1	0.238	0.762
37	0	1	0.011248126	0.9931092	0	1	0.352	0.648
38	0	1	0.0115734665	0.9935153	0	1	0.002	0.998
39	0	1	0.13525674	0.9128766	0	1	0.494	0.506
40	0	1	0.08062592	0.94956195	0	1	0.315	0.685
41	0	1	0.018104764	0.98989004	0	1	0.008	0.992
42	0	1	0.05189908	0.969975	1	0	0.905	0.095
43	0	1	0.82251185	0.2783936	0	1	0.282	0.718
44	0	1	0.098130405	0.9375577	0	1	0.685	0.315
