contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0033222048	0.9981408	0	1	0.0	1.0	0.0155101749081906	0.984489825091809	241516	0.99803526187891	0.5164005697345103
2	0	1	0.0063772565	0.99647075	0	1	0.0	1.0	0.0375896654215347	0.962410334578465	213419	1.0022867107557665	0.5156851076989396
3	0	1	0.0059161144	0.9966301	0	1	0.0	1.0	0.0246025097546134	0.975397490245387	193234	0.9894028079428008	0.5146765062049122
4	0	1	0.0047692587	0.99738896	0	1	0.0	1.0	0.0070407671589244	0.992959232841076	193082	0.9948901917237372	0.5023098994209714
5	0	1	0.0035091292	0.99807584	0	1	0.0	1.0	0.0433384516990239	0.956661548300976	176243	1.003050514451166	0.5204178321975909
6	0	1	0.0050647683	0.99716705	0	1	0.0	1.0	0.0335111621423275	0.966488837857672	176044	1.0	0.5120708459248824
7	0	1	0.005683545	0.99649847	0	1	0.0	1.0	0.0297344549778302	0.97026554502217	156311	0.9783502780245452	0.506215173596228
8	0	1	0.008558918	0.99518216	0	1	0.0	1.0	0.0759730226302698	0.92402697736973	151714	1.006961189371613	0.5177241388401861
9	0	1	0.035019822	0.9771805	0	1	0.0	1.0	0.0567457980267736	0.943254201973226	147523	1.0071351015976424	0.5101170664913268
10	0	1	0.0070446935	0.9961934	0	1	0.0	1.0	0.0263691868490548	0.973630813150945	147244	1.0056873998242075	0.5259569150525658
11	0	1	0.0049062204	0.9973099	0	1	0.0	1.0	0.0231539195247789	0.976846080475221	127853	0.9731799145479928	0.493965726263756
12	0	1	0.0061954223	0.9966098	0	1	0.004	0.996	0.0176714412061787	0.982328558793821	121451	0.9759460590079484	0.4904529398687536
13	0	1	0.016382396	0.9898266	0	1	0.001	0.999	0.0332896775533371	0.966710322446663	121156	0.9704469914848404	0.4876027600779161
