contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0011020076	0.9993987	0	1	0.0	1.0	0.0200601599406472	0.979939840059353	441430	0.9595808767509472	0.4964728269487801
2	0	1	0.0016119791	0.9991771	0	1	0.0	1.0	0.0223707179721924	0.977629282027808	385077	1.0	0.5002895524791146
3	0	1	0.0023419568	0.9987266	0	1	0.0	1.0	0.0173552070423449	0.982644792957655	323733	0.9769768651183944	0.512400651153883
4	0	1	0.0012015481	0.9993901	0	1	0.0	1.0	0.0226680573655995	0.9773319426344	261033	1.0157326488577303	0.5099316944600875
5	0	1	0.0016052363	0.99915075	0	1	0.0	1.0	0.0423403290903431	0.957659670909657	260396	1.0088381837326184	0.5165670747630532
6	0	1	0.0021104338	0.99891806	0	1	0.0	1.0	0.0347636977579622	0.965236302242038	251252	1.017137524264251	0.4968358460828173
7	0	1	0.0012113417	0.9993233	0	1	0.0	1.0	0.0324786431575451	0.967521356842455	215018	1.0200379042451022	0.5133570212726376
8	0	1	0.0023807827	0.9987073	0	1	0.0	1.0	0.0198474646347503	0.98015253536525	190668	0.9664665718658748	0.5262131034048713
9	0	1	0.0018267641	0.9989548	0	1	0.0	1.0	0.0218095912506387	0.978190408749361	178273	0.9976292565374554	0.5137121156877373
10	0	1	0.005385388	0.9970567	0	1	0.0	1.0	0.0237031553357991	0.976296844664201	152162	1.030454935249612	0.4864880850672309
11	0	1	0.0050349105	0.9972157	0	1	0.0	1.0	0.0447631958937335	0.955236804106267	150465	1.006745704336999	0.5168577410028911
12	0	1	0.0036631362	0.9980575	0	1	0.0	1.0	0.0222476261045298	0.97775237389547	144314	1.020383617554791	0.5156880136369306
13	0	1	0.0056407372	0.99691755	0	1	0.0	1.0	0.0189921660916625	0.981007833908337	139758	0.9834047957621874	0.5117918115599822
14	0	1	0.019140486	0.98909557	0	1	0.002	0.998	0.0325756510637704	0.96742434893623	107280	0.9646028872167856	0.4937080536912752
15	0	1	0.012230256	0.9928845	0	1	0.001	0.999	0.0090607404390439	0.990939259560956	101380	0.9746580061005266	0.4861609784967449
16	0	1	0.0036006505	0.9981011	0	1	0.0	1.0	0.0419764996440845	0.958023500355916	94627	1.025483321211858	0.52267323279825
17	0	1	0.017715095	0.9897202	0	1	0.001	0.999	0.0165017497750873	0.983498250224913	89257	0.9709593631287148	0.5063132303348757
18	0	1	0.00894623	0.99501103	0	1	0.001	0.999	0.0152044069464695	0.98479559305353	89198	0.9659042801471944	0.492623152985493
19	0	1	0.0062399507	0.99650824	0	1	0.026	0.974	0.0243349426167788	0.975665057383221	88521	0.9970381110002112	0.5060833022672586
20	0	1	0.013322488	0.9926487	0	1	0.0	1.0	0.043678067580735	0.956321932419265	77134	0.9873681659168828	0.5041097311172764
