contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.004415948	0.9973194	0	1	0.0	1.0	0.0158253841645311	0.984174615835469	549956
2	0	1	0.0020861889	0.99888045	0	1	0.0	1.0	0.0335391065223335	0.966460893477667	292010
3	0	1	0.0017018793	0.9990809	0	1	0.0	1.0	0.0399255999140181	0.960074400085982	268584
4	0	1	0.0128238	0.99215543	0	1	0.0	1.0	0.0268582878247984	0.973141712175202	243638
5	0	1	0.0073725423	0.9958331	0	1	0.0	1.0	0.0206861199675054	0.979313880032495	228662
6	0	1	0.0034089468	0.9982012	0	1	0.0	1.0	0.0297184936695413	0.970281506330459	172788
7	0	1	0.013880068	0.99111766	0	1	0.001	0.999	0.0154370351677884	0.984562964832212	156283
8	0	1	0.003288967	0.9982288	0	1	0.002	0.998	0.0302240415472272	0.969775958452773	155452
9	0	1	0.0073406976	0.9960253	0	1	0.0	1.0	0.0266494403550246	0.973350559644975	147297
10	0	1	0.0031125462	0.9983188	0	1	0.0	1.0	0.0389559973889747	0.961044002611025	137704
11	0	1	0.0045356345	0.9975513	0	1	0.0	1.0	0.0250669437986619	0.974933056201338	134577
12	0	1	0.09374321	0.937832	0	1	0.0	1.0	0.0241616746524195	0.975838325347581	126965
13	0	1	0.0056190155	0.9968699	0	1	0.0	1.0	0.0160277388974223	0.983972261102578	119298
14	0	1	0.0050891265	0.9971416	0	1	0.001	0.999	0.0507301156617342	0.949269884338266	108257
15	0	1	0.056980066	0.9615207	0	1	0.0	1.0	0.0235990214574119	0.976400978542588	107136
16	0	1	0.010162988	0.99431264	0	1	0.0	1.0	0.0245982932906694	0.975401706709331	105392
17	0	1	0.012856382	0.99239326	0	1	0.0	1.0	0.0289314876171376	0.971068512382862	105186
18	0	1	0.011504784	0.99370134	0	1	0.0	1.0	0.0493103312397963	0.950689668760204	94757
19	0	1	0.008017036	0.9947634	0	1	0.01	0.99	0.0251866763489255	0.974813323651075	94646
20	0	1	0.02868155	0.982262	0	1	0.012	0.988	0.0158314466163002	0.9841685533837	92485
21	0	1	0.009173381	0.99487376	0	1	0.0	1.0	0.0195604807546115	0.980439519245389	90649
22	0	1	0.009584649	0.994431	0	1	0.0	1.0	0.0391091279077515	0.960890872092249	89254
23	0	1	0.004082978	0.997826	0	1	0.0	1.0	0.0364398532644169	0.963560146735583	88137
24	0	1	0.036444046	0.97754884	0	1	0.031	0.969	0.0376097555261241	0.962390244473876	82341
25	0	1	0.020309597	0.9882368	0	1	0.0	1.0	0.0465636217836333	0.953436378216367	79210
26	0	1	0.012485589	0.99322593	0	1	0.0	1.0	0.042505307784967	0.957494692215033	75647
27	0	1	0.05540284	0.9607943	1	0	0.77	0.23	0.705126053655896	0.294873946344104	75225
28	0	1	0.015930329	0.99000365	0	1	0.0	1.0	0.0106667720869407	0.989333227913059	71394
29	0	1	0.015591295	0.9905	0	1	0.006	0.994	0.0402524749649348	0.959747525035065	70526
30	1	0	0.9127934	0.13810894	1	0	0.976	0.024	0.719893922210171	0.280106077789829	65549
31	0	1	0.029781599	0.9820899	0	1	0.0	1.0	0.014314900960098	0.985685099039902	61452
32	0	1	0.008411749	0.9952067	0	1	0.0	1.0	0.0219899738733322	0.978010026126668	59876
33	0	1	0.0076819304	0.9957269	0	1	0.0	1.0	0.0609913427610431	0.939008657238957	48069
34	0	1	0.27460474	0.81849486	0	1	0.003	0.997	0.0552828728062462	0.944717127193754	47129
35	0	1	0.0084471	0.99533105	0	1	0.0	1.0	0.038047000270191	0.961952999729809	45251
36	0	1	0.033993207	0.97967976	0	1	0.002	0.998	0.0223025093639696	0.97769749063603	42348
37	0	1	0.020302273	0.98799515	0	1	0.0	1.0	0.0148802573751545	0.985119742624845	41317
38	0	1	0.013224267	0.9927366	0	1	0.001	0.999	0.0360329664768968	0.963967033523103	41172
39	0	1	0.032143135	0.9790731	0	1	0.001	0.999	0.0190384807373593	0.980961519262641	40282
40	0	1	0.11462566	0.92543316	0	1	0.37	0.63	0.0657220774200644	0.934277922579936	35787
41	0	1	0.405766	0.6960975	0	1	0.212	0.788	0.0790890955682587	0.920910904431741	35361
42	0	1	0.035865985	0.97885096	0	1	0.014	0.986	0.0171770939732826	0.982822906026717	35140
43	0	1	0.09066456	0.93955827	0	1	0.005	0.995	0.019394756412379	0.980605243587621	33029
44	0	1	0.013463337	0.99283004	0	1	0.0	1.0	0.107376606305967	0.892623393694033	30733
45	0	1	0.016048647	0.99037147	0	1	0.161	0.839	0.0605315690693576	0.939468430930642	26604
46	0	1	0.013439556	0.9922927	0	1	0.304	0.696	0.114846273393409	0.885153726606591	24937
47	0	1	0.032620594	0.98185724	0	1	0.217	0.783	0.04634936521467	0.95365063478533	21489
48	0	1	0.10298296	0.9360181	0	1	0.633	0.367	0.065899480815341	0.934100519184659	19902
49	0	1	0.046668414	0.97350395	0	1	0.215	0.785	0.0091928957466658	0.990807104253334	18690
50	0	1	0.055662528	0.9655756	0	1	0.079	0.921	0.0094382305815921	0.990561769418408	18681
51	0	1	0.032925375	0.98156214	0	1	0.627	0.373	0.0665070165348136	0.933492983465186	18097
52	1	0	0.89563763	0.17215775	1	0	0.796	0.204	0.591166496171954	0.408833503828046	14937
53	1	0	0.18145724	0.8861129	1	0	0.694	0.306	0.963778838701325	0.0362211612986755	13948
54	0	1	0.040620353	0.9770688	0	1	0.365	0.635	0.0212691314231792	0.978730868576821	13590
55	0	1	0.055119738	0.96606994	0	1	0.333	0.667	0.0456330944294621	0.954366905570538	13492
56	0	1	0.052165966	0.9678718	0	1	0.359	0.641	0.059387178606547	0.940612821393453	11238
57	1	0	0.9099104	0.12818317	0	1	0.762	0.238	0.771980675123419	0.228019324876581	9467
58	0	1	0.38334107	0.7284503	0	1	0.243	0.757	0.0316053875540491	0.968394612445951	8400
59	0	1	0.71302724	0.39832065	0	1	0.328	0.672	0.0479472286731318	0.952052771326868	8369
60	0	1	0.22825873	0.8590108	0	1	0.29	0.71	0.10182717040265	0.89817282959735	8134
61	0	1	0.3256036	0.7932658	0	1	0.195	0.805	0.0115522772449348	0.988447722755065	6471
62	0	1	0.63258165	0.5012577	0	1	0.16	0.84	0.0334478151890443	0.966552184810956	6315
63	0	1	0.40554714	0.74690676	0	1	0.183	0.817	0.0268085930273168	0.973191406972683	5989
64	0	1	0.5433191	0.61857057	0	1	0.319	0.681	0.892767643596071	0.107232356403929	5285
65	0	1	0.19292225	0.8849611	0	1	0.213	0.787	0.0572925794147097	0.94270742058529	4903
66	0	1	0.121916346	0.93049526	0	1	0.11	0.89	0.0462888175304038	0.953711182469596	4864
67	0	1	0.0009791225	0.99995446	0	1	0.123	0.877	0.0045468737784135	0.995453126221586	4786
68	0	1	0.16586612	0.90033114	0	1	0.296	0.704	0.303433384751999	0.696566615248001	4731
69	0	1	0.07077757	0.9613764	0	1	0.097	0.903	0.0127411980249101	0.98725880197509	4721
70	0	1	0.36650607	0.7675253	0	1	0.13	0.87	0.0141705357152199	0.98582946428478	4316
71	0	1	0.017555105	0.99086225	0	1	0.063	0.937	0.0676483804872178	0.932351619512782	4113
72	0	1	0.20006418	0.9205806	0	1	0.217	0.783	0.14479882159249	0.85520117840751	3866
73	0	1	0.04904433	0.97516704	0	1	0.063	0.937	0.0032354791483557	0.996764520851644	3703
74	0	1	0.9999877	0.0023571774	1	0	0.769	0.231	0.28087353715398	0.71912646284602	3691
75	0	1	0.04734801	0.9772198	0	1	0.089	0.911	0.0047142498643354	0.995285750135665	3653
76	0	1	0.17063063	0.88013804	0	1	0.354	0.646	0.0294851190119063	0.970514880988094	3618
77	0	1	0.19298069	0.89199984	0	1	0.244	0.756	0.103397676219839	0.896602323780161	3415
78	0	1	0.07305459	0.958128	0	1	0.133	0.867	0.0058553068509439	0.994144693149056	3266
79	0	1	0.73544073	0.4023144	0	1	0.253	0.747	0.0174954545734958	0.982504545426504	3144
80	0	1	0.023299962	0.98775077	0	1	0.099	0.901	0.0027825315369081	0.997217468463092	2871
81	0	1	0.021684093	0.9883715	0	1	0.271	0.729	0.260313375378109	0.739686624621891	2825
82	0	1	0.00086395774	0.99997395	0	1	0.097	0.903	0.0159170284951459	0.984082971504854	2468
83	0	1	0.20025165	0.8764572	0	1	0.268	0.732	0.557104627846617	0.442895372153383	2362
84	0	1	0.99997157	0.0034448481	0	1	0.671	0.329	0.0010862417001418	0.998913758299858	2352
85	0	1	0.03631312	0.98302484	0	1	0.138	0.862	0.0096353726673801	0.99036462733262	2178
86	0	1	0.9999956	0.0017187006	1	0	0.958	0.042	0.020145744078094	0.979854255921906	2089
87	1	0	0.04532016	0.9978013	0	1	0.064	0.936	0.0048626586783702	0.99513734132163	1741
88	0	1	0.6632124	0.49099874	0	1	0.195	0.805	0.0003218611319013	0.999678138868099	1671
89	0	1	0.06633632	0.99313164	0	1	0.033	0.967	0.000682316520552	0.999317683479448	1607
90	1	0	0.18283013	0.89349556	0	1	0.278	0.722	0.344503807561116	0.655496192438884	1482
91	1	0	0.052558426	0.9973971	0	1	0.007	0.993	0.0130922585537121	0.986907741446288	1463
92	0	1	0.005394197	0.9996358	0	1	0.161	0.839	0.0007987388945981	0.999201261105402	1393
93	0	1	0.055616926	0.9746839	0	1	0.077	0.923	0.0199781669414757	0.980021833058524	1385
94	1	0	0.2025624	0.9971453	0	1	0.0	1.0	0.0166866178099344	0.983313382190066	1343
95	0	1	0.11436156	0.9427358	0	1	0.355	0.645	0.994328100462747	0.005671899537253	1325
96	1	0	0.061947215	0.99591804	0	1	0.246	0.754	0.0535972848327555	0.946402715167245	1290
97	0	1	0.03247837	0.9849823	0	1	0.373	0.627	0.0024261302774315	0.997573869722568	1243
98	1	0	0.6856042	0.4483961	0	1	0.337	0.663	0.942343555518933	0.0576564444810672	1232
