contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.0010237915	0.9994403	0	1	0.0	1.0	0.0202875933608159	0.979712406639184	370014
2	0	1	0.0090148	0.9947092	0	1	0.0	1.0	0.0371761560795134	0.962823843920487	238567
3	0	1	0.0018381408	0.9989798	0	1	0.0	1.0	0.0363542200258801	0.96364577997412	234792
4	0	1	0.00399198	0.9977956	0	1	0.0	1.0	0.0336635435517711	0.966336456448229	213628
5	0	1	0.002018534	0.9988534	0	1	0.0	1.0	0.0212302251619773	0.978769774838023	207792
6	0	1	0.0032042405	0.9979818	0	1	0.0	1.0	0.0251443201439174	0.974855679856083	206990
7	0	1	0.010720296	0.9936881	0	1	0.0	1.0	0.0210119465274448	0.978988053472555	201930
8	0	1	0.002977228	0.99834275	0	1	0.0	1.0	0.0567343406708414	0.943265659329159	151346
9	0	1	0.006003467	0.9967376	0	1	0.0	1.0	0.0265098870577829	0.973490112942217	147295
10	0	1	0.0036894572	0.9978452	0	1	0.0	1.0	0.0120648741177032	0.987935125882297	139179
11	0	1	0.012290022	0.99282646	0	1	0.0	1.0	0.0287674326399412	0.971232567360059	131393
12	0	1	0.018090572	0.9892875	0	1	0.001	0.999	0.0206865221353019	0.979313477864698	121394
13	0	1	0.0048262146	0.9973599	0	1	0.0	1.0	0.015835524133488	0.984164475866512	119255
14	0	1	0.012906056	0.99221975	0	1	0.0	1.0	0.0257578134642101	0.97424218653579	118309
15	0	1	0.0187593	0.98828506	0	1	0.0	1.0	0.0253253000536645	0.974674699946335	114734
16	0	1	0.011039563	0.9938103	0	1	0.0	1.0	0.019890125496651	0.980109874503349	94571
17	0	1	0.0050886814	0.997097	0	1	0.05	0.95	0.0247631368667278	0.975236863133272	92325
18	0	1	0.01930432	0.9878474	0	1	0.0	1.0	0.0260018630793875	0.973998136920613	89419
19	0	1	0.0060251113	0.9966896	0	1	0.0	1.0	0.0605474263083871	0.939452573691613	88161
20	0	1	0.028091751	0.98379064	0	1	0.0	1.0	0.0447418624506664	0.955258137549334	76070
21	0	1	0.0047331885	0.9972904	0	1	0.0	1.0	0.0133130723093524	0.986686927690648	75328
22	0	1	0.017137216	0.99028206	0	1	0.015	0.985	0.0459535963952837	0.954046403604716	73106
23	0	1	0.0066570435	0.99614143	0	1	0.0	1.0	0.0156375104946106	0.984362489505389	72341
24	0	1	0.019203892	0.9890388	0	1	0.006	0.994	0.0802898439956705	0.919710156004329	72107
25	0	1	0.012840262	0.9926686	0	1	0.0	1.0	0.0149078566510303	0.98509214334897	70601
26	0	1	0.024911322	0.98525286	0	1	0.0	1.0	0.025240497457417	0.974759502542583	62245
27	0	1	0.007338981	0.99572563	0	1	0.0	1.0	0.0220849507441307	0.977915049255869	59870
28	0	1	0.022965305	0.9863877	0	1	0.0	1.0	0.0701130842251284	0.929886915774872	58442
29	0	1	0.015773635	0.9908355	0	1	0.0	1.0	0.0203140358599407	0.979685964140059	57309
30	0	1	0.0270194	0.9838166	0	1	0.0	1.0	0.0189598908172273	0.981040109182773	54667
31	0	1	0.047236823	0.9706297	0	1	0.023	0.977	0.0229749461521302	0.97702505384787	54545
32	0	1	0.03592671	0.9783003	0	1	0.004	0.996	0.0271411273410542	0.972858872658946	51161
33	0	1	0.012979889	0.99262244	0	1	0.113	0.887	0.0796252515298511	0.920374748470149	46138
34	0	1	0.0074298307	0.9958409	0	1	0.057	0.943	0.124407135490966	0.875592864509034	44992
35	0	1	0.009067359	0.9948839	0	1	0.0	1.0	0.038065491662202	0.961934508337798	43231
36	1	0	0.81205046	0.2976287	1	0	0.891	0.109	0.663904182786672	0.336095817213328	42509
37	0	1	0.02955643	0.9827566	0	1	0.0	1.0	0.0215379386323241	0.978462061367676	39529
38	0	1	0.021980718	0.98706114	0	1	0.0	1.0	0.0090486656943231	0.990951334305677	39170
39	0	1	0.0609821	0.96206474	0	1	0.011	0.989	0.0209986336308454	0.979001366369155	38911
40	0	1	0.80522776	0.2821626	0	1	0.225	0.775	0.135301330583424	0.864698669416576	37807
41	0	1	0.021408422	0.98783183	0	1	0.0	1.0	0.0131050472733554	0.986894952726645	37576
42	0	1	0.08853593	0.9411917	0	1	0.001	0.999	0.0355527697111633	0.964447230288837	35687
43	0	1	0.021567602	0.98697275	0	1	0.003	0.997	0.0153948664323357	0.984605133567664	33685
44	0	1	0.009637774	0.9945395	0	1	0.001	0.999	0.01344143026545	0.98655856973455	32551
45	0	1	0.011777372	0.99355114	0	1	0.0	1.0	0.103353593804407	0.896646406195593	30733
46	0	1	0.022913752	0.98605126	0	1	0.664	0.336	0.148150855848884	0.851849144151116	28403
47	0	1	0.041251216	0.9748802	0	1	0.011	0.989	0.0474643552036517	0.952535644796348	27931
48	0	1	0.0907313	0.9436442	0	1	0.159	0.841	0.0303988196310798	0.96960118036892	26276
