contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0004896726	0.9997495	0	1	0.0	1.0	0.0338886499008966	0.966111350099103	530047	1.0115271133699035	0.5074342463970176
2	0	1	0.00092622737	0.9995303	0	1	0.0	1.0	0.0207203331270727	0.979279666872927	375317	1.001905436057706	0.500936541643464
3	0	1	0.0027737755	0.9985597	0	1	0.0	1.0	0.0278322104032325	0.972167789596768	330979	0.9558455261207236	0.4955994186942374
4	0	1	0.0013605667	0.99927026	0	1	0.0	1.0	0.0205406141227227	0.979459385877277	323733	0.964412145553464	0.512400651153883
5	0	1	0.0022194611	0.9988514	0	1	0.0	1.0	0.0297899308222817	0.970210069177718	251252	1.0252434525401186	0.496843806218458
6	0	1	0.0022360652	0.99879587	0	1	0.0	1.0	0.0206185096847851	0.979381490315215	190668	0.950712423843772	0.5262183481234397
7	0	1	0.0043163905	0.99770117	0	1	0.0	1.0	0.0159328423535475	0.984067157646452	178804	1.0	0.5131149191293259
8	0	1	0.0018551	0.9989362	0	1	0.0	1.0	0.02181278832652	0.97818721167348	178273	0.9933153919611076	0.5137121156877373
9	0	1	0.005131	0.9971461	0	1	0.0	1.0	0.0411293412257832	0.958870658774217	145308	0.989586192321682	0.5159592038979272
10	0	1	0.0051724995	0.99720955	0	1	0.0	1.0	0.0114875144258904	0.98851248557411	145066	0.9812827027702196	0.4924792852908331
11	0	1	0.007154911	0.99612164	0	1	0.0	1.0	0.0352219276193081	0.964778072380692	144314	0.9930927942908148	0.5156880136369306
12	0	1	0.0043711197	0.99764425	0	1	0.0	1.0	0.0189762137850135	0.981023786214987	139757	0.9926698587172584	0.5118026288486445
13	0	1	0.007029644	0.9959976	0	1	0.003	0.997	0.0298791536452553	0.970120846354745	126408	0.9678810527802254	0.491005316119233
14	0	1	0.0057608	0.99668556	0	1	0.003	0.997	0.0149100161284248	0.985089983871575	106402	0.9575274546007978	0.5001409747937069
15	0	1	0.01854352	0.9896454	0	1	0.0	1.0	0.0213550293248157	0.978644970675184	97617	1.018255632988787	0.5123697716586251
16	0	1	0.0044341837	0.9976371	0	1	0.0	1.0	0.0657215095673992	0.934278490432601	94627	0.9965274763434324	0.5226626649899078
17	0	1	0.004805619	0.9971508	0	1	0.005	0.995	0.0627390016935595	0.93726099830644	89758	0.9902202167761636	0.5008912854564496
18	0	1	0.0064549474	0.99646866	0	1	0.001	0.999	0.0196887301731768	0.980311269826823	89213	0.969243679895646	0.4926187887415511
19	0	1	0.008546401	0.99520373	0	1	0.001	0.999	0.0178726615745541	0.982127338425446	86695	0.9732927315182718	0.5065690062864063
20	0	1	0.009240077	0.99483603	0	1	0.02	0.98	0.0256142460784313	0.974385753921569	80835	1.0017319605453394	0.5049050535040515
21	0	1	0.0070512425	0.99603117	0	1	0.0	1.0	0.0253182300675096	0.97468176993249	70529	0.9606002123581772	0.5074083001318607
22	0	1	0.005544701	0.9970312	0	1	0.0	1.0	0.0445474128568012	0.955452587143199	68713	0.9866396878290272	0.5218954200806252
23	0	1	0.009590405	0.9941088	0	1	0.002	0.998	0.0194963525788037	0.980503647421196	66266	0.9943657353817248	0.4765943319349289
