contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.006934848	0.99578136	0	1	0.0	1.0	0.0150549104901511	0.984945089509849	372817
2	0	1	0.0073588076	0.9957535	0	1	0.0	1.0	0.0247948606024934	0.975205139397507	246758
3	0	1	0.008224327	0.9953243	0	1	0.0	1.0	0.0324330717528674	0.967566928247133	242441
4	0	1	0.003146402	0.9982883	0	1	0.0	1.0	0.0336468330702082	0.966353166929792	213627
5	0	1	0.0054449057	0.99658626	0	1	0.0	1.0	0.0251526395675432	0.974847360432457	206989
6	0	1	0.013066945	0.9923184	0	1	0.0	1.0	0.0195655426658506	0.980434457334149	201930
7	0	1	0.014265656	0.99127376	0	1	0.0	1.0	0.0145580003319166	0.985441999668083	197890
8	0	1	0.0060476554	0.99643505	0	1	0.0	1.0	0.0514564134136481	0.948543586586352	189282
9	0	1	0.01738732	0.98968923	0	1	0.005	0.995	0.0217679941172728	0.978232005882727	148360
10	0	1	0.0041757934	0.9977572	0	1	0.0	1.0	0.0175071493379775	0.982492850662023	147295
11	0	1	0.005352792	0.99697703	0	1	0.0	1.0	0.0802516449484816	0.919748355051518	141272
12	0	1	0.007376357	0.99584997	0	1	0.0	1.0	0.0288485115335573	0.971151488466443	131521
13	0	1	0.010131535	0.99403477	0	1	0.0	1.0	0.0158326824062616	0.984167317593738	119255
14	0	1	0.015663136	0.9904412	0	1	0.0	1.0	0.0257578134642101	0.97424218653579	118309
15	0	1	0.025088375	0.98416185	0	1	0.0	1.0	0.0278565067338555	0.972143493266144	114731
16	0	1	0.03302786	0.98013854	0	1	0.004	0.996	0.0231723423976078	0.976827657602392	112460
17	0	1	0.006611083	0.9963887	0	1	0.0	1.0	0.036593953766479	0.963406046233521	105471
18	0	1	0.025647838	0.98376036	0	1	0.0	1.0	0.0314863539672132	0.968513646032787	100453
19	0	1	0.016908819	0.99004555	0	1	0.048	0.952	0.0249539643796671	0.975046035620333	92017
20	0	1	0.005968154	0.99676955	0	1	0.0	1.0	0.0222663870430897	0.97773361295691	90988
21	0	1	0.008001921	0.99495625	0	1	0.0	1.0	0.0260018630793875	0.973998136920613	89419
22	0	1	0.06044354	0.9598025	0	1	0.056	0.944	0.052100824487636	0.947899175512364	89059
23	0	1	0.006383745	0.9965236	0	1	0.0	1.0	0.0607618218881895	0.939238178111811	88161
24	0	1	0.024255186	0.9856241	0	1	0.0	1.0	0.0434396936366294	0.956560306363371	82111
25	0	1	0.017546503	0.9892118	0	1	0.0	1.0	0.0132896203030369	0.986710379696963	75327
26	0	1	0.024584802	0.98594475	0	1	0.007	0.993	0.0800639225657468	0.919936077434253	72285
27	0	1	0.028272465	0.98204446	0	1	0.0	1.0	0.014719304908708	0.985280695091292	70600
28	1	0	0.9561402	0.08172948	1	0	0.963	0.037	0.841427898623914	0.158572101376086	65609
29	0	1	0.0231873	0.98611355	0	1	0.004	0.996	0.0445931544094387	0.955406845590561	64222
30	0	1	0.024714151	0.985328	0	1	0.042	0.958	0.063082510303026	0.936917489696974	61232
31	0	1	0.013698061	0.99144644	0	1	0.0	1.0	0.0220997912510815	0.977900208748918	59876
32	0	1	0.020534469	0.9879588	0	1	0.0	1.0	0.0225522375755668	0.977447762424433	57371
33	0	1	0.03735598	0.9776061	0	1	0.0	1.0	0.0142625563162868	0.985737443683713	54667
34	0	1	0.042336475	0.9731808	0	1	0.004	0.996	0.0241420963683618	0.975857903631638	49853
35	0	1	0.042281255	0.9721875	0	1	0.005	0.995	0.0165163081535098	0.98348369184649	48110
36	0	1	0.011241457	0.99375933	0	1	0.111	0.889	0.0788531783773714	0.921146821622629	46188
37	0	1	0.046013962	0.97022176	0	1	0.0	1.0	0.0182088710838657	0.981791128916134	43222
38	0	1	0.027991137	0.9835651	0	1	0.014	0.986	0.0165190638405951	0.983480936159405	42116
39	0	1	0.038021747	0.97739774	0	1	0.0	1.0	0.0158598758888364	0.984140124111164	41317
40	0	1	0.052575633	0.9674196	0	1	0.003	0.997	0.0205199517622089	0.979480048237791	33684
41	0	1	0.064019084	0.96047425	0	1	0.005	0.995	0.0257668415416362	0.974233158458364	30927
42	0	1	0.01138171	0.9939997	0	1	0.0	1.0	0.107376606305967	0.892623393694033	30733
43	0	1	0.68904066	0.4835817	1	0	0.862	0.138	0.712589858278198	0.287410141721802	29516
