contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.002106719	0.99889386	0	1	0.0	1.0
2	0	1	0.00077199354	0.9996178	0	1	0.0	1.0
3	0	1	0.0011702818	0.99938494	0	1	0.0	1.0
4	0	1	0.0008063192	0.99960226	0	1	0.0	1.0
5	0	1	0.0042965333	0.9976728	0	1	0.0	1.0
6	0	1	0.0045377742	0.99760354	0	1	0.0	1.0
7	0	1	0.003165853	0.99833024	0	1	0.0	1.0
8	0	1	0.0133874165	0.9923518	0	1	0.0	1.0
9	0	1	0.0046553253	0.9974811	0	1	0.0	1.0
10	0	1	0.0027717089	0.9985387	0	1	0.0	1.0
11	0	1	0.008023503	0.995612	0	1	0.0	1.0
12	0	1	0.016863745	0.99052227	0	1	0.0	1.0
13	0	1	0.016824516	0.99050355	0	1	0.0	1.0
14	0	1	0.005335566	0.9971534	0	1	0.0	1.0
15	0	1	0.020990042	0.98800385	0	1	0.001	0.999
16	0	1	0.015847808	0.99115974	0	1	0.0	1.0
17	0	1	0.0050754906	0.9971769	0	1	0.0	1.0
18	0	1	0.004367329	0.99764645	0	1	0.0	1.0
19	0	1	0.46424028	0.6931527	1	0	0.73	0.27
20	0	1	0.016912535	0.99051106	0	1	0.0	1.0
21	0	1	0.017871516	0.9894209	0	1	0.005	0.995
22	0	1	0.013419276	0.9924977	0	1	0.0	1.0
23	0	1	0.0057846853	0.99680907	0	1	0.0	1.0
24	0	1	0.029229114	0.9833174	0	1	0.064	0.936
25	1	0	0.8072914	0.31812155	1	0	0.997	0.003
26	0	1	0.01613087	0.9912284	0	1	0.08	0.92
27	0	1	0.029577373	0.9831979	0	1	0.0	1.0
28	0	1	0.030930832	0.9823141	0	1	0.0	1.0
29	1	0	0.84210145	0.24711677	0	1	0.835	0.165
30	0	1	0.062202606	0.962431	0	1	0.001	0.999
31	0	1	0.005825975	0.99703264	0	1	0.001	0.999
32	0	1	0.69109124	0.43725622	0	1	0.067	0.933
33	1	0	0.8333056	0.25170445	0	1	0.855	0.145
34	0	1	0.015541107	0.99136657	0	1	0.002	0.998
35	0	1	0.0353007	0.97924876	0	1	0.15	0.85
36	0	1	0.025871886	0.9858977	0	1	0.001	0.999
37	1	0	0.84045845	0.23265527	1	0	0.906	0.094
38	0	1	0.07541472	0.9558563	0	1	0.273	0.727
39	1	0	0.7544434	0.36690572	1	0	0.768	0.232
40	1	0	0.79763997	0.2855341	0	1	0.633	0.367
41	0	1	0.035492994	0.9808854	0	1	0.009	0.991
42	1	0	0.8935382	0.1893457	1	0	0.957	0.043
43	0	1	0.02356412	0.9884542	0	1	0.112	0.888
44	0	1	0.0755691	0.95629597	0	1	0.161	0.839
45	1	0	0.80902267	0.27797097	1	0	0.908	0.092
46	0	1	0.80976427	0.31874025	0	1	0.284	0.716
47	0	1	0.8039907	0.3266681	0	1	0.288	0.712
48	0	1	0.99996877	0.0034720767	1	0	0.731	0.269
49	0	1	0.9420663	0.13139276	0	1	0.229	0.771
50	1	0	0.6976644	0.43295312	1	0	0.796	0.204
51	0	1	0.0050048684	0.99962753	0	1	0.191	0.809
52	0	1	0.042638354	0.9765764	0	1	0.072	0.928
53	1	0	0.4880724	0.6985471	0	1	0.378	0.622
54	1	0	0.8755821	0.21334885	1	0	0.692	0.308
55	0	1	0.015563388	0.99354994	0	1	0.123	0.877
56	1	0	0.9294291	0.14735672	0	1	0.865	0.135
57	0	1	0.024226509	0.98662114	0	1	0.313	0.687
58	0	1	0.025396744	0.9892229	0	1	0.266	0.734
59	0	1	0.021954289	0.991966	0	1	0.125	0.875
60	0	1	0.030327888	0.98844814	0	1	0.194	0.806
61	0	1	0.0076248823	0.9995846	0	1	0.09	0.91
62	0	1	0.0876249	0.99867797	0	1	0.007	0.993
63	1	0	0.7601681	0.6449329	0	1	0.461	0.539
64	0	1	0.011570236	0.9976673	0	1	0.125	0.875
65	0	1	0.010169266	0.9978265	0	1	0.145	0.855
66	0	1	0.018175658	0.99303937	0	1	0.17	0.83
67	1	0	0.03046033	0.99855566	0	1	0.09	0.91
68	0	1	0.007094186	0.99856865	0	1	0.317	0.683
69	0	1	0.0066008097	0.99856853	0	1	0.289	0.711
70	1	0	0.26956138	0.93544376	0	1	0.157	0.843
71	1	0	0.12304063	0.9340522	0	1	0.152	0.848
72	0	1	0.007580023	0.9982395	0	1	0.216	0.784
73	1	0	0.0050544394	0.9990703	0	1	0.191	0.809
74	0	1	0.006431136	0.999039	0	1	0.152	0.848
75	0	1	0.006357768	0.9990305	0	1	0.144	0.856
76	0	1	0.2123332	0.9814925	0	1	0.153	0.847
77	0	1	0.6594574	0.5207019	0	1	0.328	0.672
78	1	0	0.72599673	0.46998534	0	1	0.279	0.721
79	0	1	0.04351571	0.98850423	0	1	0.137	0.863
80	0	1	0.042738	0.98837876	0	1	0.134	0.866
81	0	1	0.16055954	0.9163852	0	1	0.197	0.803
82	0	1	0.15290713	0.91875505	0	1	0.206	0.794
83	0	1	0.0145050045	0.9972062	0	1	0.195	0.805
84	0	1	0.014679707	0.99716353	0	1	0.174	0.826
85	1	0	0.20294695	0.98110765	0	1	0.497	0.503
