contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.00090533384	0.9995321	0	1	0.0	1.0	0.0321041292918685	0.967895870708132	412757
2	0	1	0.0017776687	0.99908864	0	1	0.0	1.0	0.0223707179721924	0.977629282027808	385077
3	0	1	0.00358751	0.99807477	0	1	0.0	1.0	0.0215723870423504	0.97842761295765	334598
4	0	1	0.0031159692	0.9983008	0	1	0.0	1.0	0.0173552070423449	0.982644792957655	323733
5	0	1	0.0021441015	0.99889266	0	1	0.0	1.0	0.0296232495888389	0.970376750411161	251252
6	0	1	0.0020070877	0.9989015	0	1	0.0	1.0	0.0207251857773257	0.979274814222674	233937
7	0	1	0.0016992064	0.99908364	0	1	0.0	1.0	0.0324786431575451	0.967521356842455	215018
8	0	1	0.0024831058	0.9986714	0	1	0.0	1.0	0.0205300608231009	0.979469939176899	190668
9	0	1	0.0017738763	0.9989917	0	1	0.0	1.0	0.0374689074829182	0.962531092517082	178273
10	0	1	0.009452405	0.994835	0	1	0.0	1.0	0.0452912347898465	0.954708765210153	145308
11	0	1	0.0026352552	0.9985945	0	1	0.0	1.0	0.0349736614421515	0.965026338557848	144313
12	0	1	0.0032535428	0.9982544	0	1	0.0	1.0	0.0189806682882006	0.981019331711799	139757
13	0	1	0.025101539	0.98543394	0	1	0.002	0.998	0.0228663269001134	0.977133673099887	107280
14	0	1	0.0053318203	0.9969563	0	1	0.003	0.997	0.0156601065613697	0.98433989343863	106409
15	0	1	0.0068670744	0.99622893	0	1	0.001	0.999	0.0090568534752437	0.990943146524756	101378
16	0	1	0.0032996435	0.998266	0	1	0.0	1.0	0.0657215095673992	0.934278490432601	94627
17	0	1	0.006635148	0.9961996	0	1	0.001	0.999	0.0151986956325442	0.984801304367456	89197
18	0	1	0.010790795	0.9939437	0	1	0.001	0.999	0.0178726615745541	0.982127338425446	86695
19	0	1	0.026909318	0.984633	0	1	0.02	0.98	0.0203490960634306	0.979650903936569	80835
20	0	1	0.007152664	0.995932	0	1	0.0	1.0	0.0256773805122654	0.974322619487735	70529
21	0	1	0.004876121	0.9974192	0	1	0.0	1.0	0.0391992041380376	0.960800795861962	68713
22	0	1	0.008575484	0.9949894	0	1	0.029	0.971	0.104118647660092	0.895881352339908	67853
23	0	1	0.013842899	0.9920178	0	1	0.002	0.998	0.0197114562590252	0.980288543740975	66267
24	0	1	0.0066567464	0.9962357	0	1	0.0	1.0	0.0541707459952874	0.945829254004713	65878
25	1	0	0.0374987	0.98130846	1	0	0.994	0.006	0.852166209569578	0.147833790430422	60134
26	0	1	0.008253568	0.99546754	0	1	0.0	1.0	0.0306986529876739	0.969301347012326	60110
27	1	0	0.20122607	0.8555345	1	0	0.98	0.02	0.786438259835751	0.213561740164249	57487
28	0	1	0.010693083	0.9939846	0	1	0.005	0.995	0.0390139032500453	0.960986096749955	56330
29	0	1	0.009780291	0.994578	0	1	0.0	1.0	0.0351742194955998	0.9648257805044	56113
30	0	1	0.009820991	0.9941492	0	1	0.072	0.928	0.0589745303178144	0.941025469682186	54720
31	0	1	0.00802233	0.99557716	0	1	0.0	1.0	0.0321331136623941	0.967866886337606	50035
32	0	1	0.010182765	0.99416053	0	1	0.003	0.997	0.0433630181459388	0.956636981854061	45405
33	0	1	0.050113827	0.97002506	0	1	0.01	0.99	0.0085454847725422	0.991454515227458	45115
34	0	1	0.010627107	0.9940186	0	1	0.002	0.998	0.0193122622630321	0.980687737736968	43744
35	0	1	0.010667751	0.99392545	0	1	0.002	0.998	0.0137997530996269	0.986200246900373	43695
36	0	1	0.016730633	0.9909107	0	1	0.009	0.991	0.0608287015897543	0.939171298410246	39812
37	0	1	0.012502858	0.9931227	0	1	0.299	0.701	0.0251629992379577	0.974837000762042	36261
38	0	1	0.07557391	0.9521398	0	1	0.428	0.572	0.260195214537372	0.739804785462628	30805
39	0	1	0.010322348	0.9945948	0	1	0.0	1.0	0.0866879085061714	0.913312091493829	30586
