contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0062650503	0.9962417	0	1	0.0	1.0	0.0359484279689533	0.964051572031047	309116	1.0	0.5087475252008955
2	0	1	0.003396361	0.9981303	0	1	0.0	1.0	0.021982380252361	0.978017619747639	288241	0.9279013644241004	0.4921298496744044
3	0	1	0.0025898695	0.99854374	0	1	0.0	1.0	0.0178602603376008	0.982139739662399	209713	1.0096373950351536	0.4981570050497584
4	0	1	0.0024204059	0.9987364	0	1	0.069	0.931	0.0296203684396614	0.970379631560339	200784	1.0002211651664143	0.5264612718144872
5	0	1	0.0056294035	0.99694616	0	1	0.0	1.0	0.0235374892905674	0.976462510709433	192325	1.0400450085971666	0.5133134017938386
6	0	1	0.003182088	0.998209	0	1	0.0	1.0	0.026753579198483	0.973246420801517	163975	0.9767013493787567	0.5058027138283275
7	0	1	0.00993907	0.99439144	0	1	0.0	1.0	0.0281333351039186	0.971866664896081	158445	0.944255213389252	0.4971504307488403
8	0	1	0.007131447	0.9960542	0	1	0.0	1.0	0.018852863491964	0.981147136508036	156993	0.9455505677627294	0.4986591758868229
9	0	1	0.002521707	0.99862456	0	1	0.0	1.0	0.0204814699602115	0.979518530039789	155794	1.045525354023417	0.5097500545592256
10	0	1	0.008214471	0.9951806	0	1	0.0	1.0	0.0241779535833123	0.975822046416688	142140	0.9737162218321856	0.5129590544533559
11	0	1	0.020389361	0.987781	0	1	0.0	1.0	0.0129529279251779	0.987047072074822	133113	0.9276273471527882	0.4950831248638375
12	0	1	0.0044905413	0.99755824	0	1	0.0	1.0	0.031206439830997	0.968793560169003	126925	0.9739445695582792	0.5123182982076029
13	0	1	0.004302249	0.9976852	0	1	0.0	1.0	0.0382543118274818	0.961745688172518	125068	1.0414400056147577	0.5147199923241756
14	0	1	0.0038779217	0.9979224	0	1	0.0	1.0	0.0305655777375544	0.969434422262446	123512	1.0180738055701084	0.52135824859123
15	0	1	0.009267283	0.9948663	0	1	0.0	1.0	0.0207858313539878	0.979214168646012	119267	0.9866407031290926	0.5146352301977916
16	0	1	0.007189109	0.99594903	0	1	0.0	1.0	0.0330501720975429	0.966949827902457	113666	1.0177416634230632	0.5086833353861313
17	0	1	0.0037878877	0.9979192	0	1	0.0	1.0	0.0314093381687228	0.968590661831277	111701	1.0269046349046802	0.5138808067967162
18	0	1	0.019014912	0.9890977	0	1	0.0	1.0	0.0292559318253025	0.970744068174697	110043	1.0530834307232204	0.5001499413865489
19	0	1	0.01014545	0.9938394	0	1	0.001	0.999	0.0089193437911184	0.991080656208882	106066	0.958383709969199	0.4981049535195067
20	0	1	0.017992893	0.98932993	0	1	0.0	1.0	0.0167920701934791	0.983207929806521	94795	1.0212623701817451	0.5251542802890448
21	0	1	0.0075406656	0.9956161	0	1	0.0	1.0	0.0164377798505784	0.983562220149422	94610	1.027996552213092	0.519691364549202
22	0	1	0.02762138	0.98409057	0	1	0.002	0.998	0.0205877118562658	0.979412288143734	90388	0.9472098121457138	0.4951984776740275
23	0	1	0.005197171	0.9972471	0	1	0.0	1.0	0.030983539198314	0.969016460801686	87891	1.050017576562207	0.5082431648291634
24	0	1	0.020324238	0.9880334	0	1	0.0	1.0	0.0135647846732868	0.986435215326713	82899	0.9653836057181824	0.5139145224912243
25	0	1	0.017417861	0.9904141	0	1	0.001	0.999	0.0196918542455894	0.980308145754411	79702	1.065491248837688	0.5165240520940504
26	0	1	0.005023611	0.9973215	0	1	0.0	1.0	0.0393680564059793	0.960631943594021	76453	1.0239029002507567	0.5137273880684865
27	0	1	0.012363821	0.99309766	0	1	0.0	1.0	0.0411161927425041	0.958883807257496	71691	1.0445953560116896	0.502713032319259
28	0	1	0.0074668736	0.99589247	0	1	0.0	1.0	0.0309828484522162	0.969017151547784	64168	0.9786734433768391	0.4886859493828699
29	0	1	0.0139840245	0.9918215	0	1	0.058	0.942	0.0343597087112517	0.965640291288748	63220	1.0128630861178187	0.5144416323948118
30	0	1	0.0070139784	0.99610126	0	1	0.0	1.0	0.0184665624058166	0.981533437594183	60716	1.0378191654837043	0.5204723631332763
31	1	0	0.012650342	0.9930508	1	0	0.987	0.013	0.821828907614037	0.178171092385963	52748	1.083402014117115	0.5314703875028437
32	0	1	0.2024038	0.86619246	1	0	0.836	0.164	0.477038252111025	0.522961747888975	52686	0.8862382838540841	0.4740728087157879
33	0	1	0.0339111	0.9795253	0	1	0.002	0.998	0.0289898237564669	0.971010176243533	52002	0.9547426016822128	0.4944232914118687
34	0	1	0.05186985	0.9679508	0	1	0.167	0.833	0.0759852604189333	0.924014739581067	49406	1.0004619682230222	0.4992308626482613
35	0	1	0.0137111535	0.99233437	0	1	0.0	1.0	0.0440293023893598	0.95597069761064	42819	1.0538289076995535	0.5244167308904926
36	0	1	0.024090728	0.9863617	0	1	0.0	1.0	0.0162346045027207	0.983765395497279	42749	0.9637519574208214	0.5111932442864161
37	0	1	0.019723773	0.98908025	0	1	0.0	1.0	0.0243863207822684	0.975613679217732	42584	1.0772532326199358	0.5193030246101822
38	1	0	0.014270305	0.99207366	1	0	0.968	0.032	0.555747962325369	0.444252037674631	38077	1.05946031871458	0.4949181920844604
39	0	1	0.036655217	0.97856265	0	1	0.0	1.0	0.0098150619196785	0.990184938080321	37833	0.935885231283706	0.5021013400999128
40	0	1	0.011557821	0.99323523	0	1	0.0	1.0	0.0385251470201683	0.961474852979832	37296	1.0248038358246174	0.5141570141570142
41	0	1	0.025953596	0.9851414	0	1	0.009	0.991	0.0408107436327626	0.959189256367237	31127	0.9460438489564338	0.5116779644681466
42	0	1	0.014332433	0.99212545	0	1	0.002	0.998	0.0728980921729429	0.927101907827057	30710	1.0550827443046504	0.5323347443829372
43	0	1	0.02156678	0.9873887	0	1	0.01	0.99	0.0798169146399427	0.920183085360057	27907	1.07715774175266	0.5210162324864729
44	0	1	0.023390679	0.9861003	0	1	0.266	0.734	0.0372597860391772	0.962740213960823	27768	0.9315756869257912	0.496866897147796
