contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.00090533384	0.9995321	0	1	0.0	1.0	0.0321041292918685	0.967895870708132	412757	1.0095784627418491	0.5055226198465441
2	0	1	0.0017776687	0.99908864	0	1	0.0	1.0	0.0223707179721924	0.977629282027808	385077	0.9709359442115224	0.5002895524791146
3	0	1	0.00358751	0.99807477	0	1	0.0	1.0	0.0215723870423504	0.97842761295765	334598	0.8885379102293991	0.4953257341645796
4	0	1	0.0031159692	0.9983008	0	1	0.0	1.0	0.0173552070423449	0.982644792957655	323733	0.945051958655351	0.512400651153883
5	0	1	0.0021441015	0.99889266	0	1	0.0	1.0	0.0296232495888389	0.970376750411161	251252	1.0242050057285903	0.4968358460828173
6	0	1	0.0020070877	0.9989015	0	1	0.0	1.0	0.0207251857773257	0.979274814222674	233937	1.0211549337232393	0.5114154665572355
7	0	1	0.0016992064	0.99908364	0	1	0.0	1.0	0.0324786431575451	0.967521356842455	215018	1.0315428896055523	0.5133570212726376
8	0	1	0.0024831058	0.9986714	0	1	0.0	1.0	0.0205300608231009	0.979469939176899	190668	0.9647422624319498	0.5262131034048713
9	0	1	0.0017738763	0.9989917	0	1	0.0	1.0	0.0374689074829182	0.962531092517082	178273	1.0	0.5137121156877373
10	0	1	0.009452405	0.994835	0	1	0.0	1.0	0.0452912347898465	0.954708765210153	145308	1.0087249894873451	0.5159592038979272
11	0	1	0.0026352552	0.9985945	0	1	0.0	1.0	0.0349736614421515	0.965026338557848	144313	1.0327458051332898	0.5156846576538496
12	0	1	0.0032535428	0.9982544	0	1	0.0	1.0	0.0189806682882006	0.981019331711799	139757	0.965827441426028	0.5117883182953269
13	0	1	0.025101539	0.98543394	0	1	0.002	0.998	0.0228663269001134	0.977133673099887	107280	0.8918514646222414	0.4937080536912752
