contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.004817373	0.9973855	0	1	0.0	1.0
2	0	1	0.0031617088	0.99823666	0	1	0.0	1.0
3	0	1	0.0044561364	0.9974266	0	1	0.0	1.0
4	0	1	0.0064633684	0.9963264	0	1	0.0	1.0
5	0	1	0.00446847	0.9973916	0	1	0.0	1.0
6	0	1	0.006533947	0.9963558	0	1	0.0	1.0
7	0	1	0.0063186097	0.9965763	0	1	0.0	1.0
8	0	1	0.003920113	0.9978496	0	1	0.0	1.0
9	0	1	0.005207405	0.9970912	0	1	0.0	1.0
10	0	1	0.006792511	0.9962381	0	1	0.004	0.996
11	0	1	0.009086392	0.99497414	0	1	0.0	1.0
12	0	1	0.004493347	0.9973726	0	1	0.0	1.0
13	0	1	0.007816969	0.99545497	0	1	0.0	1.0
14	0	1	0.003028255	0.99838924	0	1	0.0	1.0
15	0	1	0.017417481	0.9898311	0	1	0.003	0.997
16	0	1	0.0063977395	0.99644816	0	1	0.0	1.0
17	0	1	0.008025931	0.9956995	0	1	0.0	1.0
18	0	1	0.008176322	0.99556595	0	1	0.0	1.0
19	0	1	0.007043907	0.99605733	0	1	0.0	1.0
20	0	1	0.009660196	0.9944967	0	1	0.0	1.0
21	0	1	0.00902868	0.99489856	0	1	0.0	1.0
22	0	1	0.00855042	0.9951782	0	1	0.011	0.989
23	0	1	0.0046748016	0.9974481	0	1	0.0	1.0
24	0	1	0.0070172013	0.9960693	0	1	0.0	1.0
25	0	1	0.010673898	0.99403733	0	1	0.001	0.999
26	0	1	0.012978958	0.9925666	0	1	0.019	0.981
27	0	1	0.005936848	0.9967425	0	1	0.0	1.0
28	0	1	0.008871177	0.9950775	0	1	0.0	1.0
29	0	1	0.0065738317	0.9963412	0	1	0.001	0.999
30	0	1	0.010138216	0.9942281	0	1	0.004	0.996
31	0	1	0.0061746277	0.9966254	0	1	0.0	1.0
32	0	1	0.006863838	0.99619496	0	1	0.0	1.0
33	0	1	0.013953355	0.99211085	0	1	0.068	0.932
34	0	1	0.0062733763	0.9965836	0	1	0.0	1.0
35	0	1	0.0057404963	0.996837	0	1	0.0	1.0
36	0	1	0.013838428	0.9921692	0	1	0.001	0.999
37	0	1	0.026390469	0.98451185	0	1	0.0	1.0
38	0	1	0.007132557	0.9960183	0	1	0.0	1.0
39	0	1	0.05676641	0.9650979	0	1	0.0	1.0
40	0	1	0.009987298	0.9943623	0	1	0.151	0.849
41	0	1	0.020088509	0.98878175	0	1	0.0	1.0
42	0	1	0.041166402	0.9741865	0	1	0.0	1.0
