contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.00499304	0.99709153	0	1	0.0	1.0
2	0	1	0.0027248228	0.99855936	0	1	0.0	1.0
3	0	1	0.002421542	0.9985988	0	1	0.0	1.0
4	0	1	0.004964236	0.99716103	0	1	0.0	1.0
5	0	1	0.0015972942	0.99913776	0	1	0.0	1.0
6	0	1	0.0037354776	0.99782753	0	1	0.0	1.0
7	0	1	0.002200393	0.99879175	0	1	0.0	1.0
8	0	1	0.010296202	0.99379104	0	1	0.001	0.999
9	0	1	0.002803951	0.9984705	0	1	0.0	1.0
10	0	1	0.0046244143	0.9975107	0	1	0.0	1.0
11	0	1	0.0031304038	0.9982009	0	1	0.0	1.0
12	0	1	0.0038422365	0.9979342	0	1	0.0	1.0
13	0	1	0.005281813	0.99712837	0	1	0.0	1.0
14	0	1	0.007829193	0.99519986	0	1	0.0	1.0
15	0	1	0.02624895	0.9835926	0	1	0.0	1.0
16	0	1	0.006655501	0.99610496	0	1	0.0	1.0
17	0	1	0.028316528	0.9831126	0	1	0.0	1.0
18	0	1	0.022313505	0.9873508	0	1	0.001	0.999
19	0	1	0.0108581595	0.9938498	0	1	0.0	1.0
20	0	1	0.0046531153	0.9974883	0	1	0.0	1.0
21	0	1	0.009340972	0.9948244	0	1	0.029	0.971
22	0	1	0.006846369	0.9961573	0	1	0.0	1.0
23	0	1	0.011733628	0.9935264	0	1	0.002	0.998
24	0	1	0.020414643	0.9876623	0	1	0.0	1.0
25	0	1	0.011002625	0.99383914	0	1	0.0	1.0
26	0	1	0.011306112	0.99339116	0	1	0.0	1.0
27	0	1	0.018348016	0.98894507	0	1	0.0	1.0
28	0	1	0.009283426	0.9947603	0	1	0.0	1.0
29	0	1	0.03806449	0.97563875	0	1	0.002	0.998
30	0	1	0.037366647	0.97715497	0	1	0.21	0.79
31	0	1	0.018981954	0.98928523	0	1	0.001	0.999
32	0	1	0.06778715	0.95792055	0	1	0.075	0.925
33	0	1	0.06575342	0.96005917	0	1	0.003	0.997
34	0	1	0.032983724	0.9809165	0	1	0.0	1.0
35	0	1	0.014069705	0.99225086	0	1	0.001	0.999
36	0	1	0.22093366	0.852378	0	1	0.041	0.959
37	1	0	0.024285981	0.98507965	1	0	0.996	0.004
38	0	1	0.013335918	0.99295056	0	1	0.0	1.0
39	0	1	0.07214914	0.9545698	0	1	0.005	0.995
40	1	0	0.11210736	0.92493236	1	0	0.971	0.029
41	1	0	0.06703513	0.95939934	1	0	0.827	0.173
42	0	1	0.09494703	0.9398006	0	1	0.283	0.717
43	0	1	0.029079983	0.9839684	0	1	0.003	0.997
44	0	1	0.029036425	0.9843173	0	1	0.153	0.847
45	1	0	0.5622458	0.5705993	0	1	0.282	0.718
46	0	1	0.14253287	0.913506	1	0	0.714	0.286
47	1	0	0.10334433	0.93732333	0	1	0.262	0.738
48	1	0	0.04346123	0.97255665	1	0	0.992	0.008
49	0	1	0.16798048	0.89689124	1	0	0.585	0.415
50	0	1	0.60482955	0.5241687	0	1	0.254	0.746
51	1	0	0.09750066	0.9403595	1	0	0.658	0.342
52	0	1	0.04530936	0.9741708	0	1	0.228	0.772
53	1	0	0.073428534	0.9548568	0	1	0.728	0.272
54	0	1	0.17448288	0.89272785	0	1	0.117	0.883
55	0	1	0.2950719	0.8166889	0	1	0.161	0.839
56	1	0	0.20437266	0.8707433	0	1	0.185	0.815
57	1	0	0.5740284	0.59204125	0	1	0.63	0.37
58	0	1	0.15393105	0.9033326	0	1	0.068	0.932
59	0	1	0.6283393	0.521881	0	1	0.322	0.678
60	0	1	0.02092054	0.9891001	0	1	0.059	0.941
61	1	0	0.13459696	0.9200696	1	0	0.694	0.306
62	0	1	0.38066515	0.7603502	1	0	0.466	0.534
63	0	1	0.23107056	0.85958916	0	1	0.345	0.655
64	1	0	0.58109635	0.80237496	1	0	0.955	0.045
65	0	1	0.087137826	0.95434326	0	1	0.12	0.88
66	1	0	0.1723636	0.9979602	0	1	0.0	1.0
67	0	1	0.13176343	0.9716334	0	1	0.183	0.817
68	1	0	0.036220327	0.99855477	0	1	0.022	0.978
69	1	0	0.024604674	0.999094	0	1	0.076	0.924
70	0	1	0.017279796	0.9966753	0	1	0.058	0.942
71	0	1	0.016531447	0.9966643	0	1	0.076	0.924
72	0	1	0.016166205	0.9957364	0	1	0.143	0.857
73	0	1	0.030146157	0.98673725	0	1	0.16	0.84
74	1	0	0.77759075	0.5711782	0	1	0.115	0.885
75	0	1	0.00748301	0.9998573	0	1	0.185	0.815
76	0	1	0.061062418	0.99493605	0	1	0.0	1.0
77	1	0	0.8626465	0.76622987	0	1	0.453	0.547
78	1	0	0.17918155	0.89888966	0	1	0.36	0.64
79	1	0	0.48632544	0.763639	0	1	1.0	0.0
80	0	1	0.03357988	0.99052036	0	1	0.168	0.832
81	0	1	0.6391493	0.5736283	0	1	0.103	0.897
82	0	1	0.06983846	0.9947202	0	1	0.0	1.0
83	1	0	0.85591936	0.71500945	0	1	0.364	0.636
84	0	1	0.57817894	0.62566525	0	1	0.252	0.748
85	0	1	0.5756683	0.9209746	0	1	0.362	0.638
86	0	1	0.0554158	0.98318076	0	1	0.136	0.864
87	1	0	0.03533341	0.9936446	0	1	0.211	0.789
88	1	0	0.09700076	0.95304286	0	1	0.255	0.745
89	0	1	0.046246495	0.9847348	0	1	0.227	0.773
90	0	1	0.06613023	0.99360794	0	1	0.122	0.878
91	0	1	0.25913677	0.95446074	0	1	0.26	0.74
92	0	1	0.7959243	0.34985724	0	1	0.317	0.683
93	0	1	0.7025149	0.4710703	0	1	0.286	0.714
94	1	0	0.36424264	0.830721	0	1	0.21	0.79
95	0	1	0.059495762	0.98219144	0	1	0.239	0.761
96	0	1	0.568902	0.6207945	0	1	0.323	0.677
97	0	1	0.1363822	0.94442666	0	1	0.077	0.923
98	0	1	0.21513939	0.93499196	0	1	0.035	0.965
99	0	1	0.6195666	0.5822796	0	1	0.264	0.736
100	0	1	0.004885927	0.99986774	0	1	0.177	0.823
101	0	1	0.014361685	0.99969053	0	1	0.108	0.892
102	1	0	0.31343317	0.9676957	0	1	0.446	0.554
103	0	1	0.8398541	0.38329485	0	1	0.171	0.829
104	0	1	0.6267705	0.7588849	0	1	0.014	0.986
105	1	0	0.18239206	0.89982677	0	1	0.272	0.728
106	0	1	0.008472963	0.9989432	0	1	0.155	0.845
107	0	1	0.008252022	0.99897546	0	1	0.154	0.846
108	1	0	0.08435458	0.96742666	0	1	0.329	0.671
109	0	1	0.08390216	0.9908248	0	1	0.24	0.76
110	0	1	0.04865468	0.98863864	0	1	0.208	0.792
111	0	1	0.041040525	0.98100245	0	1	0.323	0.677
112	0	1	0.040801752	0.9812435	0	1	0.32	0.68
113	1	0	0.9106761	0.7607039	0	1	0.826	0.174
114	0	1	0.026295358	0.99841404	0	1	0.027	0.973
115	0	1	0.19569062	0.945055	0	1	0.135	0.865
116	0	1	0.08471811	0.9806297	0	1	0.292	0.708
117	0	1	0.107578345	0.97801256	0	1	0.138	0.862
118	0	1	0.035670634	0.9978178	0	1	0.227	0.773
119	0	1	0.053905603	0.9968758	0	1	0.27	0.73
120	1	0	0.95736086	0.32783788	0	1	0.149	0.851
121	1	0	0.06907187	0.9870913	0	1	0.277	0.723
122	0	1	0.16698806	0.9680052	0	1	0.241	0.759
123	0	1	0.06857318	0.97640455	0	1	0.277	0.723
124	0	1	0.1302424	0.9228566	0	1	0.426	0.574
125	0	1	0.8277142	0.3945382	0	1	0.172	0.828
126	1	0	0.13357224	0.97374445	0	1	0.293	0.707
127	1	0	0.034554858	0.995726	0	1	0.259	0.741
128	0	1	0.044208758	0.98966515	0	1	0.204	0.796
129	0	1	0.0061838003	0.99983096	0	1	0.218	0.782
130	0	1	0.13942966	0.9496467	0	1	0.218	0.782
131	1	0	0.5336446	0.9807563	0	1	0.629	0.371
132	1	0	0.6941582	0.8290161	0	1	0.335	0.665
