contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0009258042	0.99948984	0	1	0.0	1.0	0.0198817945422318	0.980118205457768	470763	0.9617042843287564	0.4993871650915641
2	0	1	0.0010860466	0.99943036	0	1	0.0	1.0	0.0232887215999491	0.976711278400051	379850	0.961485745727971	0.513544820323812
3	0	1	0.0007121192	0.9996277	0	1	0.0	1.0	0.040746393926464	0.959253606073536	371010	1.081364056746981	0.507606263982103
4	0	1	0.0014390316	0.99918187	0	1	0.0	1.0	0.0258957915850111	0.974104208414989	301690	0.9087025064798384	0.4948125559349001
5	0	1	0.0009556374	0.99953043	0	1	0.0	1.0	0.0372098316796472	0.962790168320353	297421	1.1255484175054942	0.5033269338748777
6	0	1	0.0016414457	0.9991596	0	1	0.0	1.0	0.0343573180019935	0.965642681998007	290800	1.071172497918663	0.514659559834938
7	0	1	0.00303841	0.99825054	0	1	0.003	0.997	0.0411925168853697	0.95880748311463	289120	0.9166437462766946	0.4960742944106253
8	0	1	0.002844246	0.99848294	0	1	0.0	1.0	0.0223380190094673	0.977661980990533	245302	1.0	0.5103097406462238
9	0	1	0.00092278654	0.9995008	0	1	0.0	1.0	0.0308200124536082	0.969179987546392	235503	1.0129710762787478	0.5145836783395541
10	0	1	0.0016519597	0.9991547	0	1	0.0	1.0	0.0311349021580443	0.968865097841956	228030	1.0225627400842334	0.5052624654650704
11	0	1	0.0021552448	0.9987774	0	1	0.0	1.0	0.0200231581047802	0.97997684189522	205415	0.8942221265527882	0.495849864907626
12	0	1	0.0015247987	0.99912727	0	1	0.0	1.0	0.0412319394929708	0.958768060507029	196211	1.0652840122964922	0.4821697050624073
13	0	1	0.0030888065	0.9983468	0	1	0.0	1.0	0.0157072661885406	0.984292733811459	189473	1.112167313011831	0.5164904762156085
14	0	1	0.008316887	0.9954431	0	1	0.0	1.0	0.0250544737642648	0.974945526235735	177209	1.0355094244953116	0.5145731875920523
15	0	1	0.0018042362	0.9990442	0	1	0.0	1.0	0.0220360044348483	0.977963995565152	164978	1.1234826661121948	0.5178084350640692
16	0	1	0.0056619295	0.99691975	0	1	0.0	1.0	0.0237472094651878	0.976252790534812	158923	1.059206664256531	0.5097059582313448
17	0	1	0.0019201469	0.9990225	0	1	0.0	1.0	0.0337457294154506	0.966254270584549	137493	1.133245550242849	0.5110587448088266
18	0	1	0.0024500675	0.9987451	0	1	0.0	1.0	0.031084633130677	0.968915366869323	113547	1.1467291186351327	0.5189569077122249
19	0	1	0.017774144	0.98940635	0	1	0.004	0.996	0.0249731961481566	0.975026803851843	91851	1.0709522334056527	0.4832718206660787
20	1	0	0.022671968	0.9863746	0	1	0.815	0.185	0.182259239533981	0.817740760466019	57331	0.8860443828215414	0.4943224433552528
21	0	1	0.007830507	0.9956023	0	1	0.015	0.985	0.0380897305453781	0.961910269454622	54089	1.0404008904366986	0.5273900423376288
22	0	1	0.043446153	0.9744267	0	1	0.0	1.0	0.0108228771401052	0.989177122859895	46298	0.9211315886944228	0.5002375912566418
23	0	1	0.015014338	0.99176025	0	1	0.001	0.999	0.0401143775943147	0.959885622405685	41336	1.1077032417046877	0.4933472034062318
24	1	0	0.022362102	0.98710656	1	0	0.98	0.02	0.813135172602198	0.186864827397802	39749	0.9081585857998434	0.5244157085712848
25	0	1	0.020982873	0.98718095	0	1	0.117	0.883	0.0573520258899083	0.942647974110092	37281	1.0172836912248986	0.4732705667766422
26	0	1	0.029002577	0.98260176	0	1	0.42	0.58	0.02462249351437	0.97537750648563	36788	1.0036901214657332	0.4675981298249429
27	0	1	0.024267785	0.9863938	0	1	0.029	0.971	0.140368891797087	0.859631108202913	30784	1.0467217003876594	0.5234212577962578
28	0	1	0.013653711	0.9928429	0	1	0.0	1.0	0.0441678996511843	0.955832100348816	29857	1.1347706721981872	0.5344810262250058
29	0	1	0.017042136	0.9903599	0	1	0.002	0.998	0.012152174351138	0.987847825648862	26648	0.920668793066596	0.5127589312518763
30	1	0	0.0323014	0.98070884	0	1	0.834	0.166	0.631207526414368	0.368792473585632	23544	0.906029222595958	0.4892966360856269
31	1	0	0.06860123	0.95559394	1	0	0.947	0.053	0.788750835338193	0.211249164661807	22465	0.8426036093000017	0.4482973514355664
32	0	1	0.09398543	0.9407424	0	1	0.222	0.778	0.0072521286081238	0.992747871391876	14508	0.9776327818752428	0.4657430383236834
33	1	0	0.045351498	0.97291744	1	0	0.933	0.067	0.683326466324337	0.316673533675663	14031	0.8705922025192528	0.490699166132136
34	0	1	0.04279515	0.9731116	0	1	0.445	0.555	0.0235271532434931	0.976472846756507	12356	0.9262183986712728	0.4558918743930074
35	1	0	0.104654625	0.9371948	1	0	0.762	0.238	0.720885833819768	0.279114166180232	12257	0.8585069257835045	0.5117891816920943
36	0	1	0.3563986	0.7687137	0	1	0.181	0.819	0.0056114920429164	0.994388507957084	9214	0.8113918883063707	0.4195789016713696
37	0	1	0.024271095	0.986013	0	1	0.196	0.804	0.31638936393461	0.68361063606539	7551	1.0779961667462967	0.554893391603761
38	0	1	0.15067062	0.9053788	0	1	0.439	0.561	0.0608949687819687	0.939105031218031	7331	0.9937189615034212	0.4071750102305279
39	0	1	0.02812762	0.98623204	0	1	0.053	0.947	0.0681070783838587	0.931892921616141	4110	1.0957380682239817	0.4710462287104623
40	0	1	0.091082774	0.94713795	0	1	0.333	0.667	0.256294919616382	0.743705080383618	3861	1.0257970271604204	0.4485884485884486
41	1	0	0.04692356	0.9726931	1	0	0.762	0.238	0.659223401709658	0.340776598290342	3802	0.8534624534401929	0.4810625986322988
