contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.0034053326	0.99798524	0	1	0.0	1.0	0.0220438579247982	0.977956142075202	483466
2	0	1	0.0005797128	0.9996963	0	1	0.0	1.0	0.0257786396503473	0.974221360349653	418481
3	0	1	0.003193531	0.9982597	0	1	0.0	1.0	0.0221457675869968	0.977854232413003	403784
4	0	1	0.0028956365	0.9984342	0	1	0.0	1.0	0.0174959511981628	0.982504048801837	324344
5	0	1	0.0013415958	0.99927354	0	1	0.0	1.0	0.0361842125114433	0.963815787488557	260397
6	0	1	0.002059129	0.9989308	0	1	0.0	1.0	0.0358900686969551	0.964109931303045	250379
7	0	1	0.0015647609	0.99915284	0	1	0.0	1.0	0.0275482257606682	0.972451774239332	233938
8	0	1	0.0024532326	0.9986645	0	1	0.0	1.0	0.0197124258743355	0.980287574125664	190668
9	0	1	0.0066267904	0.9961814	0	1	0.0	1.0	0.0374772126211765	0.962522787378823	178272
10	0	1	0.0036935627	0.99799216	0	1	0.0	1.0	0.0122025223226089	0.987797477677391	164518
11	0	1	0.0020881826	0.99883664	0	1	0.0	1.0	0.0375034195683527	0.962496580431647	152104
12	0	1	0.0023907805	0.9987364	0	1	0.0	1.0	0.0352505383407533	0.964749461659247	144313
13	0	1	0.0150376735	0.9913242	0	1	0.0	1.0	0.0191745691298736	0.980825430870126	138846
14	0	1	0.0063625425	0.9964266	0	1	0.004	0.996	0.0308737094243278	0.969126290575672	126862
15	0	1	0.0040262803	0.9978515	0	1	0.0	1.0	0.0419797525062374	0.958020247493763	94627
16	0	1	0.01681248	0.9903195	0	1	0.005	0.995	0.0626357514412004	0.9373642485588	89756
17	0	1	0.0050204075	0.99716437	0	1	0.001	0.999	0.0196925573231962	0.980307442676804	89212
18	0	1	0.0046587633	0.99735284	0	1	0.001	0.999	0.0243308483904932	0.975669151609507	82383
19	0	1	0.009403508	0.9947535	0	1	0.02	0.98	0.0257101382806715	0.974289861719329	80835
20	0	1	0.010144922	0.994322	0	1	0.0	1.0	0.0180086153748099	0.98199138462519	80075
21	0	1	0.002951331	0.9983711	0	1	0.001	0.999	0.0285888096031888	0.971411190396811	78254
22	0	1	0.010192964	0.9944674	0	1	0.0	1.0	0.0448788830796061	0.955121116920394	68713
23	1	0	0.51894075	0.6679654	1	0	0.994	0.006	0.851118943284507	0.148881056715493	60129
24	0	1	0.032293748	0.98084	0	1	0.005	0.995	0.0394698748624031	0.960530125137597	56364
25	0	1	0.0072642434	0.99601126	0	1	0.0	1.0	0.0341340429465741	0.965865957053426	56068
26	0	1	0.009908713	0.9939169	0	1	0.023	0.977	0.0134100119744741	0.986589988025526	55805
27	0	1	0.006827764	0.9960752	0	1	0.07	0.93	0.0615963070674641	0.938403692932536	54776
28	0	1	0.009506229	0.99422824	0	1	0.0	1.0	0.0346855085718583	0.965314491428142	50035
29	0	1	0.027112179	0.98404676	0	1	0.003	0.997	0.043493284960593	0.956506715039407	45404
30	0	1	0.02015542	0.98829603	0	1	0.01	0.99	0.0085454847725422	0.991454515227458	45115
31	0	1	0.012760072	0.99278903	0	1	0.002	0.998	0.0295264967362897	0.97047350326371	44155
32	0	1	0.019137999	0.9893078	0	1	0.009	0.991	0.0604731537830099	0.93952684621699	39812
33	0	1	0.018294165	0.98937094	0	1	0.285	0.715	0.0270503799173555	0.972949620082645	35908
34	0	1	0.049594793	0.97044265	0	1	0.293	0.707	0.0374328611448295	0.962567138855171	32717
35	0	1	0.010996013	0.9939159	0	1	0.0	1.0	0.085959596297177	0.914040403702823	30586
36	0	1	0.01829426	0.9896462	0	1	0.0	1.0	0.0255949525195605	0.97440504748044	28375
37	0	1	0.011352127	0.9935661	0	1	0.001	0.999	0.012582075457951	0.987417924542049	27559
38	0	1	0.009831096	0.9943614	0	1	0.002	0.998	0.0918057540944501	0.90819424590555	26921
39	0	1	0.008785492	0.9953669	0	1	0.004	0.996	0.0651710009403202	0.93482899905968	26140
40	0	1	0.17535904	0.88130146	0	1	0.366	0.634	0.200272225033958	0.799727774966042	25166
41	0	1	0.05891676	0.9644779	0	1	0.007	0.993	0.0185486468791266	0.981451353120873	24283
42	0	1	0.016666299	0.99055135	0	1	0.253	0.747	0.0536872832003339	0.946312716799666	20968
43	0	1	0.0456837	0.9736141	0	1	0.006	0.994	0.0152864949961328	0.984713505003867	20544
44	0	1	0.082004875	0.9484071	0	1	0.622	0.378	0.228920227389146	0.771079772610854	19383
45	0	1	0.011628047	0.99309844	0	1	0.008	0.992	0.0050849176521404	0.99491508234786	17135
46	0	1	0.061539907	0.9651587	0	1	0.129	0.871	0.13674375239145	0.86325624760855	12367
47	0	1	0.069282316	0.9607052	0	1	0.134	0.866	0.0388628073746884	0.961137192625312	11918
48	0	1	0.30291426	0.8112903	0	1	0.392	0.608	0.224949993434012	0.775050006565988	11726
49	0	1	0.07548656	0.9549004	0	1	0.249	0.751	0.798892561312051	0.201107438687949	9226
50	1	0	0.17485216	0.89558005	0	1	0.095	0.905	0.0333476490883101	0.96665235091169	9061
51	0	1	0.051016804	0.97075415	0	1	0.115	0.885	0.0028815188340222	0.997118481165978	8984
52	0	1	0.11774666	0.93055445	0	1	0.492	0.508	0.0765808367897312	0.923419163210269	8541
53	0	1	0.1851411	0.8905256	0	1	0.275	0.725	0.0075675539360495	0.99243244606395	6860
54	0	1	0.9999726	0.0027785515	1	0	0.897	0.103	0.824897428016877	0.175102571983123	6715
55	1	0	0.16133733	0.88949835	0	1	0.99	0.01	0.0620180303992159	0.937981969600784	6651
56	0	1	0.067485996	0.961221	0	1	0.319	0.681	0.0076442375979878	0.992355762402012	6582
57	0	1	0.23284464	0.86208546	0	1	0.339	0.661	0.0330941709594264	0.966905829040574	5523
58	0	1	0.028751725	0.9850814	0	1	0.331	0.669	0.207416946413534	0.792583053586466	5054
59	0	1	0.025239347	0.9863309	0	1	0.295	0.705	0.0067053209696686	0.993294679030331	5011
60	0	1	0.016106527	0.9931483	0	1	0.072	0.928	0.0113374500291777	0.988662549970822	4225
61	0	1	0.99997556	0.003968716	1	0	0.903	0.097	0.580336626267466	0.419663373732534	3609
62	0	1	0.12745078	0.9293183	0	1	0.341	0.659	0.447123508116627	0.552876491883373	2416
63	0	1	0.048481442	0.9758054	0	1	0.337	0.663	0.154748434220082	0.845251565779918	1819
64	0	1	0.13613158	0.9299754	0	1	0.338	0.662	0.239188549627343	0.760811450372657	1662
65	0	1	0.024053236	0.99904287	0	1	0.09	0.91	0.0045650391374145	0.995434960862585	1566
66	0	1	0.14735286	0.9243763	0	1	0.134	0.866	0.0015186151109385	0.998481384889061	1525
67	0	1	0.13924035	0.92796934	0	1	0.134	0.866	0.0013198175664533	0.998680182433547	1525
68	1	0	0.18145724	0.9683702	0	1	0.103	0.897	0.211311539829987	0.788688460170013	1445
69	0	1	0.16618094	0.91732186	0	1	0.208	0.792	0.0175651867235421	0.982434813276458	1430
70	0	1	0.12413294	0.9321492	0	1	0.277	0.723	0.0008225015980504	0.99917749840195	1395
71	1	0	0.020322239	0.999292	0	1	0.089	0.911	0.587871312109462	0.412128687890538	1202
72	0	1	0.1950969	0.9987762	0	1	0.15	0.85	0.0251649925841378	0.974835007415862	1201
73	0	1	0.07791939	0.96505666	0	1	0.261	0.739	0.0005909809874391	0.999409019012561	1114
74	1	0	0.041060638	0.9985897	0	1	0.064	0.936	0.000720021092413	0.999279978907587	1054
75	0	1	0.008458037	0.99820286	0	1	0.176	0.824	0.0802422263185183	0.919757773681482	1046
76	0	1	0.008698229	0.99796164	0	1	0.2	0.8	0.0462249749988144	0.953775025001186	1040
77	0	1	0.006944506	0.99962544	0	1	0.206	0.794	0.5	0.5	946
78	0	1	0.09987726	0.9532183	0	1	0.356	0.644	0.5	0.5	927
79	0	1	0.17948918	0.9670228	0	1	0.254	0.746	0.5	0.5	926
80	1	0	0.15499282	0.9293581	0	1	0.24	0.76	0.5	0.5	924
81	1	0	0.16223307	0.92695	0	1	0.24	0.76	0.5	0.5	924
82	0	1	0.119576626	0.94880855	0	1	0.213	0.787	0.5	0.5	922
83	0	1	0.020326024	0.9991311	0	1	0.165	0.835	0.5	0.5	914
84	0	1	0.011226289	0.9996412	0	1	0.168	0.832	0.5	0.5	905
85	1	0	0.60822076	0.9062132	0	1	0.201	0.799	0.5	0.5	903
86	0	1	0.10657311	0.9845786	0	1	0.189	0.811	0.5	0.5	901
87	0	1	0.10245832	0.94980174	0	1	0.387	0.613	0.5	0.5	865
88	0	1	0.003627186	0.999403	0	1	0.166	0.834	0.5	0.5	812
89	0	1	0.0037869092	0.9993609	0	1	0.171	0.829	0.5	0.5	812
90	0	1	0.90958214	0.3261782	0	1	0.32	0.68	0.5	0.5	812
91	0	1	0.04635939	0.98366094	0	1	0.229	0.771	0.5	0.5	736
92	0	1	0.0047767297	0.99990267	0	1	0.185	0.815	0.5	0.5	700
93	0	1	0.0067800516	0.99900186	0	1	0.208	0.792	0.5	0.5	679
94	0	1	0.0067433175	0.9990371	0	1	0.217	0.783	0.5	0.5	679
95	0	1	0.009238764	0.99788773	0	1	0.165	0.835	0.5	0.5	659
96	0	1	0.06939755	0.97325546	0	1	0.36	0.64	0.5	0.5	619
97	0	1	0.025568584	0.9932497	0	1	0.191	0.809	0.5	0.5	612
98	0	1	0.025478747	0.99300975	0	1	0.188	0.812	0.5	0.5	612
99	0	1	0.5860879	0.64743	0	1	0.272	0.728	0.5	0.5	576
100	0	1	0.5803326	0.6523315	0	1	0.278	0.722	0.5	0.5	574
101	0	1	0.006060121	0.99977756	0	1	0.144	0.856	0.5	0.5	565
102	0	1	0.020657679	0.9992718	0	1	0.019	0.981	0.5	0.5	548
103	0	1	0.004550333	0.99930394	0	1	0.197	0.803	0.5	0.5	515
104	0	1	0.0064261514	0.9998493	0	1	0.213	0.787	0.5	0.5	509
105	0	1	0.45754972	0.97685426	0	1	0.273	0.727	0.5	0.5	504
106	1	0	0.15751544	0.97487336	0	1	0.533	0.467	0.5	0.5	477
107	0	1	0.50095934	0.85887676	0	1	0.367	0.633	0.5	0.5	472
108	1	0	0.5114583	0.99156654	0	1	0.692	0.308	0.5	0.5	461
109	0	1	0.8113679	0.49744934	0	1	0.408	0.592	0.5	0.5	453
110	1	0	0.382265	0.7959031	0	1	0.253	0.747	0.5	0.5	430
111	1	0	0.14224038	0.96040195	0	1	0.287	0.713	0.5	0.5	415
112	1	0	0.17180118	0.97660196	0	1	0.401	0.599	0.5	0.5	406
113	0	1	0.003989539	0.99960834	0	1	0.229	0.771	0.5	0.5	403
114	0	1	0.0038289432	0.9996179	0	1	0.237	0.763	0.5	0.5	403
115	1	0	0.19624197	0.9736506	0	1	0.245	0.755	0.5	0.5	393
116	0	1	0.04957447	0.9828067	0	1	0.299	0.701	0.5	0.5	389
117	0	1	0.063848116	0.97814053	0	1	0.354	0.646	0.5	0.5	389
118	0	1	0.22000596	0.9468396	0	1	0.248	0.752	0.5	0.5	388
119	0	1	0.0068671554	0.9987922	0	1	0.231	0.769	0.5	0.5	379
120	0	1	0.07657855	0.9928361	0	1	0.203	0.797	0.5	0.5	369
121	0	1	0.003623182	0.99982244	0	1	0.267	0.733	0.5	0.5	367
122	0	1	0.0050449073	0.99937654	0	1	0.271	0.729	0.5	0.5	360
123	0	1	0.0050986833	0.9993817	0	1	0.251	0.749	0.5	0.5	360
124	0	1	0.10569136	0.98251534	0	1	0.291	0.709	0.5	0.5	345
125	0	1	0.10837745	0.9820714	0	1	0.281	0.719	0.5	0.5	345
126	0	1	0.044225607	0.9957336	0	1	0.289	0.711	0.5	0.5	341
127	0	1	0.63489676	0.5670997	0	1	0.342	0.658	0.5	0.5	333
128	0	1	0.6401719	0.5599884	0	1	0.369	0.631	0.5	0.5	333
129	0	1	0.029235732	0.9957808	0	1	0.336	0.664	0.5	0.5	328
130	0	1	0.20193458	0.9622276	0	1	0.328	0.672	0.5	0.5	325
131	0	1	0.009237319	0.9985454	0	1	0.232	0.768	0.5	0.5	324
132	1	0	0.0029704578	0.9998612	0	1	0.309	0.691	0.5	0.5	315
133	0	1	0.10268307	0.98990905	0	1	0.259	0.741	0.5	0.5	312
134	0	1	0.06539846	0.9955689	0	1	0.276	0.724	0.5	0.5	310
135	0	1	0.05379691	0.9935344	0	1	0.344	0.656	0.5	0.5	310
136	0	1	0.006250692	0.9989863	0	1	0.271	0.729	0.5	0.5	304
137	0	1	0.006596493	0.9990435	0	1	0.338	0.662	0.5	0.5	304
138	0	1	0.01820353	0.999339	0	1	0.265	0.735	0.5	0.5	300
139	0	1	0.031576935	0.998713	0	1	0.271	0.729	0.5	0.5	296
140	1	0	0.091822185	0.98793113	0	1	0.281	0.719	0.5	0.5	295
141	0	1	0.13567619	0.9867251	0	1	0.29	0.71	0.5	0.5	295
142	0	1	0.80551624	0.50500774	0	1	0.362	0.638	0.5	0.5	294
143	0	1	0.00604935	0.9996624	0	1	0.23	0.77	0.5	0.5	281
144	0	1	0.0050745425	0.99981177	0	1	0.343	0.657	0.5	0.5	279
145	1	0	0.091305226	0.9817482	0	1	0.357	0.643	0.5	0.5	267
146	0	1	0.0032404114	0.9999041	0	1	0.235	0.765	0.5	0.5	266
147	0	1	0.029786164	0.9979973	0	1	0.304	0.696	0.5	0.5	266
148	0	1	0.017403273	0.9993633	0	1	0.318	0.682	0.5	0.5	261
149	1	0	0.49887	0.84773225	0	1	0.293	0.707	0.5	0.5	261
150	0	1	0.02524749	0.99485904	0	1	0.238	0.762	0.5	0.5	260
151	1	0	0.023668444	0.99938226	0	1	0.028	0.972	0.5	0.5	258
152	0	1	0.14910783	0.9650434	0	1	0.297	0.703	0.5	0.5	257
153	0	1	0.14810342	0.96407807	0	1	0.306	0.694	0.5	0.5	257
154	1	0	0.53606665	0.72457963	0	1	0.328	0.672	0.5	0.5	256
155	0	1	0.52968496	0.73857737	0	1	0.347	0.653	0.5	0.5	256
156	1	0	0.56433713	0.6909027	0	1	0.372	0.628	0.5	0.5	254
157	0	1	0.023927648	0.99782485	0	1	0.377	0.623	0.5	0.5	254
158	1	0	0.5854122	0.6538362	0	1	0.377	0.623	0.5	0.5	254
159	0	1	0.026678855	0.995517	0	1	0.299	0.701	0.5	0.5	244
160	0	1	0.025118774	0.99563444	0	1	0.279	0.721	0.5	0.5	244
161	0	1	0.0075191488	0.99980676	0	1	0.268	0.732	0.5	0.5	240
162	1	0	0.13931008	0.97301745	0	1	0.204	0.796	0.5	0.5	238
163	0	1	0.67388237	0.6613114	0	1	0.355	0.645	0.5	0.5	233
164	0	1	0.006835643	0.9988207	0	1	0.279	0.721	0.5	0.5	231
165	0	1	0.0070813536	0.99891776	0	1	0.256	0.744	0.5	0.5	231
166	0	1	0.08719706	0.9984671	0	1	0.343	0.657	0.5	0.5	231
167	0	1	0.13439904	0.9498232	0	1	0.348	0.652	0.5	0.5	228
168	0	1	0.13197981	0.94692785	0	1	0.365	0.635	0.5	0.5	228
169	1	0	0.07645967	0.9965451	0	1	0.234	0.766	0.5	0.5	228
170	1	0	0.4853619	0.952551	0	1	0.493	0.507	0.5	0.5	222
171	0	1	0.042444073	0.9950516	0	1	0.361	0.639	0.5	0.5	219
172	1	0	0.001731344	0.9999518	0	1	0.253	0.747	0.5	0.5	216
173	0	1	0.04893056	0.99511826	0	1	0.287	0.713	0.5	0.5	212
174	0	1	0.17911206	0.95640624	0	1	0.281	0.719	0.5	0.5	212
175	0	1	0.12794828	0.95588356	0	1	0.275	0.725	0.5	0.5	212
176	0	1	0.0024172552	0.99980366	0	1	0.293	0.707	0.5	0.5	207
177	0	1	0.0023899279	0.9998064	0	1	0.33	0.67	0.5	0.5	207
178	1	0	0.11670207	0.9861437	0	1	0.333	0.667	0.5	0.5	207
179	1	0	0.55453694	0.9540403	0	1	0.288	0.712	0.5	0.5	206
180	1	0	0.13126546	0.9815557	0	1	0.497	0.503	0.5	0.5	203
181	0	1	0.00799328	0.99936736	0	1	0.309	0.691	0.5	0.5	203
182	0	1	0.15807906	0.95773846	0	1	0.309	0.691	0.5	0.5	202
183	0	1	0.04741916	0.99582314	0	1	0.385	0.615	0.5	0.5	202
184	0	1	0.007974382	0.99913394	0	1	0.297	0.703	0.5	0.5	200
185	0	1	0.0077588456	0.99910283	0	1	0.336	0.664	0.5	0.5	200
186	0	1	0.46289164	0.80068994	0	1	0.297	0.703	0.5	0.5	189
187	0	1	0.46287215	0.7990756	0	1	0.294	0.706	0.5	0.5	189
188	0	1	0.018951962	0.9989189	0	1	0.316	0.684	0.5	0.5	188
189	0	1	0.016072199	0.99689114	0	1	0.342	0.658	0.5	0.5	188
190	0	1	0.033468954	0.9971029	0	1	0.252	0.748	0.5	0.5	188
191	0	1	0.18766455	0.9700364	0	1	0.363	0.637	0.5	0.5	187
192	0	1	0.89444584	0.36246905	0	1	0.401	0.599	0.5	0.5	186
193	0	1	0.075306825	0.9734914	0	1	0.282	0.718	0.5	0.5	186
194	0	1	0.07738887	0.9738298	0	1	0.291	0.709	0.5	0.5	186
195	0	1	0.033138644	0.99387985	0	1	0.351	0.649	0.5	0.5	184
196	0	1	0.004360159	0.9996413	0	1	0.315	0.685	0.5	0.5	182
197	0	1	0.004433243	0.99964297	0	1	0.331	0.669	0.5	0.5	182
198	1	0	0.003095414	0.99973685	0	1	0.297	0.703	0.5	0.5	180
199	1	0	0.003106583	0.9997354	0	1	0.299	0.701	0.5	0.5	180
200	0	1	0.016085474	0.99906147	0	1	0.365	0.635	0.5	0.5	180
201	1	0	0.040836275	0.9967767	0	1	0.375	0.625	0.5	0.5	179
202	0	1	0.033824876	0.9886261	0	1	0.387	0.613	0.5	0.5	177
203	1	0	0.074293405	0.9853225	0	1	0.254	0.746	0.5	0.5	176
204	0	1	0.21176454	0.9718751	0	1	0.297	0.703	0.5	0.5	176
205	1	0	0.1642433	0.966547	0	1	0.323	0.677	0.5	0.5	174
206	1	0	0.11387727	0.99181986	0	1	0.323	0.677	0.5	0.5	171
207	1	0	0.07884389	0.99070096	0	1	0.362	0.638	0.5	0.5	169
208	1	0	0.0053147306	0.99982524	0	1	0.28	0.72	0.5	0.5	168
209	1	0	0.50618744	0.8480413	0	1	0.365	0.635	0.5	0.5	168
210	0	1	0.003503366	0.9998419	0	1	0.257	0.743	0.5	0.5	164
211	0	1	0.36009905	0.9239149	0	1	0.353	0.647	0.5	0.5	164
