contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.0042572054	0.99769354	0	1	0.0	1.0	0.0316916893530393	0.968308310646961	236453	1.0567958081543585	0.5124612502273179
2	0	1	0.0031333158	0.99807996	0	1	0.0	1.0	0.0291468658845432	0.970853134115457	216940	0.9682281137679024	0.5092329676408224
3	0	1	0.0028377222	0.9984935	0	1	0.0	1.0	0.0337975200607229	0.966202479939277	208805	1.017075106586039	0.5183783913220469
4	0	1	0.0054886765	0.99700606	0	1	0.0	1.0	0.0204847618290181	0.979515238170982	205412	1.0	0.5137187700815922
5	0	1	0.005944053	0.99667764	0	1	0.0	1.0	0.0214243670897039	0.978575632910296	203098	0.9815770981568313	0.5139390835951118
6	0	1	0.007077637	0.9960627	0	1	0.0	1.0	0.0108320263693019	0.989167973630698	184823	0.9792073178207756	0.5163210206521915
7	0	1	0.004198985	0.9977279	0	1	0.0	1.0	0.0252336502619318	0.974766349738068	170970	0.981924051222072	0.4980990817102416
8	0	1	0.004054665	0.9977709	0	1	0.0	1.0	0.0307320473183268	0.969267952681673	150168	1.020087417134515	0.524499227531831
9	0	1	0.008434925	0.9948006	0	1	0.0	1.0	0.0224278030530355	0.977572196946965	134411	0.989169876062852	0.5031284641881989
10	0	1	0.008537321	0.99524343	0	1	0.0	1.0	0.0412786581073882	0.958721341892612	127627	1.0511536812884097	0.5152984869972654
11	0	1	0.004886714	0.9971801	0	1	0.0	1.0	0.0322830205881824	0.967716979411818	127117	1.0706411677382075	0.513983180849139
12	0	1	0.012212946	0.99299455	0	1	0.0	1.0	0.0188472480998992	0.981152751900101	120448	1.005037012839762	0.4989373007438895
13	0	1	0.0091746105	0.99490654	0	1	0.0	1.0	0.0157181757151631	0.984281824284837	113148	1.0083748580589094	0.5100841375897055
14	0	1	0.0033377358	0.99802923	0	1	0.0	1.0	0.024601879480404	0.975398120519596	106350	1.029099822195165	0.5074847202632816
15	0	1	0.007577977	0.9958625	0	1	0.0	1.0	0.0618220796193777	0.938177920380622	104941	1.0689103428367763	0.5201398881276146
16	0	1	0.008486666	0.9952524	0	1	0.0	1.0	0.0131845182206455	0.986815481779355	100609	1.0306606048627691	0.5137313759206433
17	0	1	0.011602573	0.9934153	0	1	0.002	0.998	0.0141566671848403	0.98584333281516	95542	0.9924660975334634	0.5047413702874128
18	0	1	0.008831078	0.9950175	0	1	0.0	1.0	0.0435904129104654	0.956409587089535	94237	1.0455504715117112	0.5137366427199508
19	0	1	0.015375194	0.9907805	0	1	0.002	0.998	0.0457999963045597	0.95420000369544	92665	1.1071077399220124	0.4858468677494199
20	0	1	0.0088206185	0.99509704	0	1	0.0	1.0	0.0103460038271441	0.989653996172856	89478	1.0071998116791558	0.5261852075370482
21	0	1	0.007938456	0.99558854	0	1	0.0	1.0	0.01844202390893	0.98155797609107	88944	1.0414300052692365	0.5171905918330635
22	0	1	0.0127933845	0.99275196	0	1	0.23	0.77	0.069844502176328	0.930155497823672	88522	0.9900000038114612	0.5136011386999841
23	0	1	0.008782843	0.9950906	0	1	0.0	1.0	0.0277541675312933	0.972245832468707	86212	1.0415927726045726	0.5122024776133253
24	0	1	0.014207548	0.9918719	0	1	0.004	0.996	0.0552666452878711	0.944733354712129	71721	1.027103032537093	0.4857294237392117
25	0	1	0.01624104	0.990342	0	1	0.0	1.0	0.0161063217070034	0.983893678292997	67300	0.9858795204396856	0.5207429420505201
26	0	1	0.008942829	0.99496216	0	1	0.002	0.998	0.0139377928208003	0.9860622071792	65735	0.9554732443852346	0.4962196698866661
27	0	1	0.015740903	0.9911245	0	1	0.0	1.0	0.0158988939504912	0.984101106049509	63090	1.0092065322517896	0.5146932952924393
28	0	1	0.012263061	0.99314547	0	1	0.0	1.0	0.0378718641094481	0.962128135890552	61995	1.0600345346670763	0.5165577869182999
29	0	1	0.015066279	0.99152404	0	1	0.0	1.0	0.0588199462570472	0.941180053742953	57237	1.0081942532073724	0.5072767615353705
30	0	1	0.0153841	0.99141544	0	1	0.046	0.954	0.024433128397831	0.975566871602169	55347	0.9807133298099162	0.5271830451514987
31	1	0	0.023793405	0.9857403	1	0	0.997	0.003	0.757718744174128	0.242281255825872	55101	0.8153149608343965	0.5194098110742091
32	0	1	0.018408725	0.9889214	0	1	0.0	1.0	0.0339213114118487	0.966078688588151	55001	1.023139862094443	0.5132633952109962
33	0	1	0.020327821	0.98820424	0	1	0.003	0.997	0.0173481476549351	0.982651852345065	54542	1.006432798482505	0.4825822302079132
34	0	1	0.07395327	0.955464	0	1	0.435	0.565	0.0295133022592128	0.970486697740787	50472	1.135166152906482	0.4474956411475669
35	0	1	0.018318504	0.98961765	0	1	0.0	1.0	0.0106677247946753	0.989332275205325	47229	0.971522549587254	0.5230261068411357
36	0	1	0.022871787	0.98716474	0	1	0.0	1.0	0.044942355764875	0.955057644235125	44359	1.0710737275060866	0.5109447913613923
37	0	1	0.059604783	0.96396875	0	1	0.519	0.481	0.265576772643872	0.734423227356128	42845	1.1419603440567143	0.4609172598903022
38	0	1	0.05239217	0.9681103	0	1	0.002	0.998	0.0190904861662911	0.980909513833709	42193	1.0824093905131391	0.4705756879103169
39	0	1	0.049997028	0.970253	0	1	0.0	1.0	0.0100313777657463	0.989968622234254	40932	1.006015673473551	0.4935014169842666
40	0	1	0.017936606	0.98979366	0	1	0.0	1.0	0.048875061264679	0.951124938735321	39925	1.0798341776503957	0.5075767063243581
41	0	1	0.03835475	0.9780722	0	1	0.849	0.151	0.143788587559706	0.856211412440294	31310	0.8474911637766694	0.520887895241137
42	0	1	0.012626883	0.99326974	0	1	0.0	1.0	0.0747126362058165	0.925287363794184	30707	1.0407499499640664	0.532223922884033
