contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.0013401099	0.9992963	0	1	0.0	1.0
2	0	1	0.0011209345	0.99941266	0	1	0.0	1.0
3	0	1	0.0013116482	0.99932194	0	1	0.0	1.0
4	0	1	0.0026791946	0.99861133	0	1	0.0	1.0
5	0	1	0.0023835227	0.9987156	0	1	0.0	1.0
6	0	1	0.003024322	0.9984101	0	1	0.0	1.0
7	0	1	0.0036578851	0.9980857	0	1	0.0	1.0
8	0	1	0.0028152182	0.9984679	0	1	0.0	1.0
9	0	1	0.004151339	0.9977823	0	1	0.0	1.0
10	0	1	0.0037629222	0.99792814	0	1	0.0	1.0
11	0	1	0.0032292157	0.9982525	0	1	0.0	1.0
12	0	1	0.016098863	0.9908762	0	1	0.0	1.0
13	0	1	0.003280019	0.99820864	0	1	0.0	1.0
14	0	1	0.0059497748	0.9966905	0	1	0.0	1.0
15	0	1	0.004598359	0.9975398	0	1	0.0	1.0
16	0	1	0.00583124	0.99684167	0	1	0.0	1.0
17	0	1	0.016935976	0.9899943	0	1	0.003	0.997
18	0	1	0.011102152	0.993807	0	1	0.0	1.0
19	0	1	0.004324998	0.99769586	0	1	0.0	1.0
20	1	0	0.703969	0.42514545	1	0	0.884	0.116
21	0	1	0.004579355	0.99747384	0	1	0.005	0.995
22	0	1	0.005255607	0.9971544	0	1	0.0	1.0
23	0	1	0.013057041	0.9927317	0	1	0.0	1.0
24	0	1	0.018632133	0.9885007	0	1	0.0	1.0
25	0	1	0.0071893404	0.99611723	0	1	0.0	1.0
26	0	1	0.017522829	0.9895127	0	1	0.007	0.993
27	0	1	0.017479384	0.98890156	0	1	0.308	0.692
28	0	1	0.012429522	0.9930694	0	1	0.001	0.999
29	0	1	0.02206844	0.9875555	0	1	0.0	1.0
30	0	1	0.008792492	0.9951381	0	1	0.0	1.0
31	0	1	0.0065558963	0.9964749	0	1	0.001	0.999
32	0	1	0.012263095	0.9930593	0	1	0.001	0.999
33	0	1	0.012922221	0.99291265	0	1	0.011	0.989
34	0	1	0.009979756	0.99454427	0	1	0.004	0.996
35	1	0	0.072667785	0.95468503	1	0	0.941	0.059
36	0	1	0.110794954	0.9256489	0	1	0.039	0.961
37	1	0	0.01914235	0.9884115	1	0	0.948	0.052
38	1	0	0.83044475	0.25851682	1	0	0.988	0.012
39	0	1	0.028951671	0.98353785	0	1	0.052	0.948
40	0	1	0.008933327	0.9951666	0	1	0.001	0.999
41	0	1	0.058516532	0.9627655	0	1	0.04	0.96
42	0	1	0.09145849	0.94229245	0	1	0.111	0.889
43	0	1	0.013660706	0.9924337	0	1	0.002	0.998
44	1	0	0.043610886	0.9748485	1	0	0.904	0.096
45	0	1	0.025674716	0.98563814	0	1	0.298	0.702
46	0	1	0.05295424	0.9691024	0	1	0.017	0.983
47	0	1	0.44772562	0.6950612	0	1	0.159	0.841
48	1	0	0.071348384	0.9558809	1	0	0.997	0.003
