contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.00025267893	0.99987394	0	1	0.0	1.0	0.0213683669369614	0.978631633063039	790741	0.9255395507989082	0.5116631109301276
2	0	1	0.0015252106	0.9991547	0	1	0.0	1.0	0.0166529396718393	0.983347060328161	487217	0.8379789690442135	0.4990261013059889
3	0	1	0.00078135205	0.9995637	0	1	0.0	1.0	0.025195637339127	0.974804362660873	454650	0.8855371041317542	0.5063697349609589
4	0	1	0.0010272836	0.99945986	0	1	0.0	1.0	0.0238605946905912	0.976139405309409	406499	1.0	0.5093198261250336
5	0	1	0.0007981984	0.99960554	0	1	0.0	1.0	0.0383756065729457	0.961624393427054	387125	1.0470483035364244	0.5024113658379077
6	0	1	0.001032853	0.9994581	0	1	0.0	1.0	0.0340902173679545	0.965909782632046	288373	1.1158241394263315	0.5069025186130462
7	0	1	0.0033476036	0.99816805	0	1	0.0	1.0	0.0195277298996854	0.980472270100315	213302	1.0815390146913977	0.5097608086187658
8	0	1	0.0057393024	0.9969192	0	1	0.0	1.0	0.0234720563073141	0.976527943692686	203751	1.083248478365642	0.5075901467968256
9	0	1	0.0025464525	0.9986869	0	1	0.0	1.0	0.0453266285008224	0.954673371499178	193401	1.0086478105087544	0.5166157362164622
10	0	1	0.0039592055	0.99775314	0	1	0.0	1.0	0.0530823761484728	0.946917623851527	147607	1.069518573424111	0.5111410705454348
11	0	1	0.012161211	0.99312675	0	1	0.04	0.96	0.0776463003943054	0.922353699605695	133597	1.046081340578095	0.4804673757644258
12	0	1	0.017493095	0.9900691	0	1	0.0	1.0	0.0104012041509433	0.989598795849057	132226	0.9170391866443144	0.5071166033911636
13	0	1	0.003781317	0.99797934	0	1	0.0	1.0	0.0171634491134552	0.982836550886545	129901	1.0361230339789962	0.5088721410920625
