contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.00026365498	0.99987197	0	1	0.0	1.0	0.0217094299820517	0.978290570017948	739173
2	0	1	0.0018381566	0.99904084	0	1	0.0	1.0	0.0230194068414732	0.976980593158527	387481
3	0	1	0.0017225267	0.9989343	0	1	0.0	1.0	0.0192350392453999	0.9807649607546	260882
4	0	1	0.0013835906	0.9992449	0	1	0.0	1.0	0.0270813971249725	0.972918602875028	250239
5	0	1	0.0037291173	0.9979495	0	1	0.0	1.0	0.0267950199931807	0.973204980006819	226640
6	0	1	0.003281024	0.99791	0	1	0.0	1.0	0.0268446498688145	0.973155350131185	217265
7	0	1	0.0041492116	0.9977236	0	1	0.0	1.0	0.035839815980704	0.964160184019296	174156
8	0	1	0.0022413912	0.99879473	0	1	0.0	1.0	0.0241258280619697	0.97587417193803	147636
9	0	1	0.0049656276	0.99706745	0	1	0.0	1.0	0.0407930610627799	0.95920693893722	143779
10	0	1	0.0026957989	0.99839556	0	1	0.0	1.0	0.0263143080466697	0.97368569195333	136448
11	0	1	0.004720804	0.9973232	0	1	0.0	1.0	0.0237399258515939	0.976260074148406	135204
12	0	1	0.0050207083	0.9973193	0	1	0.0	1.0	0.0329792417647434	0.967020758235257	118356
13	0	1	0.00988041	0.99410784	0	1	0.0	1.0	0.0242925185942303	0.97570748140577	116208
14	0	1	0.0055995155	0.9970002	0	1	0.0	1.0	0.0228594025596459	0.977140597440354	110298
15	0	1	0.0066860784	0.9956283	0	1	0.0	1.0	0.0205456607901494	0.979454339209851	104849
16	0	1	0.0052666236	0.9971173	0	1	0.0	1.0	0.0606855060750585	0.939314493924941	94624
17	0	1	0.008629368	0.9951153	0	1	0.025	0.975	0.0328282431121018	0.967171756887898	85741
18	0	1	0.010235629	0.9942182	0	1	0.001	0.999	0.0747028993153701	0.92529710068463	85564
19	0	1	0.0067330757	0.99622	0	1	0.0	1.0	0.0445928896315677	0.955407110368432	78084
20	1	0	0.06530663	0.9592725	1	0	0.974	0.026	0.758771809815277	0.241228190184723	77001
21	0	1	0.0060810572	0.9967012	0	1	0.004	0.996	0.0196436194422327	0.980356380557767	76984
22	0	1	0.0079597235	0.99571276	0	1	0.02	0.98	0.0325837314881035	0.967416268511897	70209
23	0	1	0.01691992	0.9905039	0	1	0.0	1.0	0.0191172161857535	0.980882783814247	69492
24	0	1	0.008640241	0.9952498	0	1	0.0	1.0	0.032970694152323	0.967029305847677	67825
25	0	1	0.0063270223	0.9964652	0	1	0.0	1.0	0.0213144146321994	0.978685585367801	66345
26	0	1	0.0063079563	0.9964863	0	1	0.0	1.0	0.0161006347611775	0.983899365238822	65055
27	0	1	0.0072291545	0.9960596	0	1	0.0	1.0	0.0194247450168548	0.980575254983145	63202
28	0	1	0.0048122383	0.99740016	0	1	0.0	1.0	0.0141971910834975	0.985802808916503	62261
29	0	1	0.014898685	0.9915575	0	1	0.152	0.848	0.0251917916723632	0.974808208327637	55820
30	0	1	0.007983823	0.995648	0	1	0.0	1.0	0.0156654290137168	0.984334570986283	55651
31	0	1	0.006704312	0.996274	0	1	0.0	1.0	0.0410483435991089	0.958951656400891	54796
32	0	1	0.013677018	0.9914712	0	1	0.0	1.0	0.0251468242591985	0.974853175740802	53578
33	0	1	0.008325681	0.9954958	0	1	0.118	0.882	0.0400683212282489	0.959931678771751	45737
34	0	1	0.01547583	0.9912744	0	1	0.0	1.0	0.0485670108230396	0.95143298917696	43395
35	0	1	0.016554615	0.98902524	0	1	0.007	0.993	0.0188695033179127	0.981130496682087	41743
36	0	1	0.9441639	0.12436468	1	0	0.954	0.046	0.900688712994419	0.0993112870055811	35646
37	0	1	0.039755236	0.975554	0	1	0.795	0.205	0.219095340888713	0.780904659111287	34829
38	0	1	0.023851003	0.98672545	0	1	0.001	0.999	0.0970601422142064	0.902939857785794	30785
39	0	1	0.023293337	0.98649114	0	1	0.019	0.981	0.0422133137258174	0.957786686274183	30737
40	0	1	0.024559658	0.98611325	0	1	0.008	0.992	0.0380241592765823	0.961975840723418	26078
41	0	1	0.02798814	0.984058	0	1	0.001	0.999	0.0329966924812219	0.967003307518778	24784
42	0	1	0.012629869	0.9930603	0	1	0.0	1.0	0.0680039310082025	0.931996068991798	23948
43	0	1	0.04725514	0.97261786	0	1	0.183	0.817	0.0206732923691432	0.979326707630857	19626
44	0	1	0.017982384	0.98840314	0	1	0.003	0.997	0.0041384962093429	0.995861503790657	18547
45	0	1	0.033261187	0.9790542	0	1	0.037	0.963	0.0253692499604058	0.974630750039594	15343
46	0	1	0.04635007	0.97384405	0	1	0.181	0.819	0.0319277974473836	0.968072202552616	12778
47	0	1	0.06628097	0.9585812	0	1	0.008	0.992	0.0138795202545846	0.986120479745415	12083
48	0	1	0.40251935	0.76136833	0	1	0.587	0.413	0.0861857826201462	0.913814217379854	11139
49	0	1	0.017884528	0.9900766	0	1	0.102	0.898	0.0041826941009706	0.995817305899029	10275
50	0	1	0.066508934	0.9628341	0	1	0.097	0.903	0.0065534446533446	0.993446555346655	8280
51	0	1	0.7597623	0.35649115	1	0	0.828	0.172	0.880600227150822	0.119399772849178	7921
52	0	1	0.07155979	0.95950496	0	1	0.216	0.784	0.142157349299582	0.857842650700418	7633
53	0	1	0.024222283	0.9867867	0	1	0.004	0.996	0.0156608284531831	0.984339171546817	7453
54	0	1	0.76649904	0.33898458	0	1	0.277	0.723	0.12743185842819	0.87256814157181	7327
55	0	1	0.03678333	0.9770727	0	1	0.067	0.933	0.0167190751598237	0.983280924840176	7261
56	0	1	0.013641802	0.9932784	0	1	0.089	0.911	0.0214871475703436	0.978512852429656	4682
57	0	1	0.027227663	0.9863089	0	1	0.042	0.958	0.0155858882955787	0.984414111704421	4392
58	1	0	0.11133572	0.94060886	0	1	0.129	0.871	0.0045869130586659	0.995413086941334	2991
59	0	1	0.5429225	0.68625474	0	1	0.509	0.491	0.994246509029121	0.0057534909708785	2930
60	0	1	0.2926097	0.9916054	0	1	0.474	0.526	0.0604184594743588	0.939581540525641	2731
61	0	1	0.78336763	0.33150843	1	0	0.362	0.638	0.713772663485948	0.286227336514052	2692
