contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.002879966	0.99838513	0	1	0.0	1.0	0.0169587748917208	0.983041225108279	420557
2	0	1	0.004936967	0.9970821	0	1	0.0	1.0	0.0223526369966944	0.977647363003306	321040
3	0	1	0.0023220882	0.9987751	0	1	0.0	1.0	0.0323557893067372	0.967644210693263	290906
4	0	1	0.0031495371	0.998164	0	1	0.0	1.0	0.0219053451529503	0.97809465484705	284608
5	0	1	0.0018699288	0.9989895	0	1	0.0	1.0	0.0396502681758123	0.960349731824188	268593
6	0	1	0.006283801	0.9962187	0	1	0.0	1.0	0.0294827803806599	0.97051721961934	244479
7	0	1	0.0020909498	0.9988575	0	1	0.0	1.0	0.0314215806284737	0.968578419371526	242289
8	0	1	0.009974406	0.9939742	0	1	0.001	0.999	0.0102084175529586	0.989791582447041	165785
9	0	1	0.0036015345	0.99803644	0	1	0.0	1.0	0.054625399155917	0.945374600844083	154721
10	0	1	0.0025447323	0.9986446	0	1	0.0	1.0	0.0171695869198385	0.982830413080162	147297
11	0	1	0.0031880306	0.9981717	0	1	0.0	1.0	0.0249083585366331	0.975091641463367	138306
12	0	1	0.0040185964	0.9978347	0	1	0.0	1.0	0.0177277937387473	0.982272206261253	124240
13	0	1	0.0046459343	0.9974719	0	1	0.0	1.0	0.0158396883851236	0.984160311614876	119253
14	0	1	0.0075457073	0.99537796	0	1	0.0	1.0	0.0216595674050756	0.978340432594924	117157
15	0	1	0.019591732	0.9879813	0	1	0.0	1.0	0.0283068917013385	0.971693108298662	106895
16	0	1	0.0066706426	0.9962002	0	1	0.0	1.0	0.010363504626595	0.989636495373405	106650
17	0	1	0.02056597	0.9880818	0	1	0.0	1.0	0.0190884304969692	0.980911569503031	104594
18	0	1	0.01764501	0.99005985	0	1	0.001	0.999	0.0476453887545979	0.952354611245402	91214
19	0	1	0.011540211	0.9935186	0	1	0.0	1.0	0.0260880062511493	0.973911993748851	89417
20	0	1	0.006486473	0.99648196	0	1	0.0	1.0	0.0613914390925383	0.938608560907462	88131
21	0	1	0.009706849	0.9946308	0	1	0.029	0.971	0.0330902588913174	0.966909741108683	87008
22	0	1	0.024059884	0.98609054	0	1	0.002	0.998	0.0253510269894492	0.974648973010551	85624
23	0	1	0.00718576	0.99595773	0	1	0.0	1.0	0.0128932088002618	0.987106791199738	79247
24	0	1	0.0071840994	0.99601036	0	1	0.002	0.998	0.0282897578479249	0.971710242152075	73034
25	0	1	0.019055754	0.9883864	0	1	0.0	1.0	0.0102356002170725	0.989764399782928	71774
26	0	1	0.00952647	0.99474484	0	1	0.0	1.0	0.0515473940091069	0.948452605990893	70643
27	0	1	0.013689807	0.99196005	0	1	0.0	1.0	0.0310509051494831	0.968949094850517	65869
28	0	1	0.025302568	0.98543006	0	1	0.0	1.0	0.0217491568340827	0.978250843165917	61961
29	0	1	0.018991625	0.98856837	0	1	0.0	1.0	0.0112277807536179	0.988772219246382	61440
30	0	1	0.007261069	0.99585617	0	1	0.0	1.0	0.0081173275261072	0.991882672473893	59876
31	0	1	0.039748874	0.97460353	0	1	0.002	0.998	0.0464728098599752	0.953527190140025	55668
32	0	1	0.04113412	0.97483873	0	1	0.21	0.79	0.217307357328967	0.782692642671033	49026
33	0	1	0.01163263	0.99360585	0	1	0.001	0.999	0.0220922900624951	0.977907709937505	41173
34	0	1	0.11516519	0.9259404	0	1	0.041	0.959	0.0144654453995083	0.985534554600492	40428
