contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.002310694	0.9987136	0	1	0.0	1.0	0.0346723507836453	0.965327649216355	399813	0.9997956449348328	0.5118417860349713
2	0	1	0.0013778639	0.9992682	0	1	0.0	1.0	0.0310223926173923	0.968977607382608	329797	1.0006808694570664	0.5136462733135838
3	0	1	0.0009622571	0.9994558	0	1	0.0	1.0	0.0324715624079623	0.967528437592038	318827	0.9691175439998078	0.5023006207128003
4	0	1	0.0012493746	0.99929297	0	1	0.0	1.0	0.0194023418882191	0.980597658111781	307764	0.9844102504330388	0.5085227641959423
5	0	1	0.0065590427	0.9961023	0	1	0.0	1.0	0.0426957807594908	0.957304219240509	285152	1.0059063280216978	0.512263634833352
6	0	1	0.0015070047	0.999238	0	1	0.0	1.0	0.031945778844211	0.968054221155789	269533	1.0175866079194733	0.5157216370537189
7	0	1	0.0014621681	0.9991598	0	1	0.0	1.0	0.0261939587243741	0.973806041275626	244462	0.9709643744662468	0.4911315460071504
8	0	1	0.006474898	0.9959587	0	1	0.052	0.948	0.0919967139398391	0.908003286060161	241121	1.0	0.5119545788214216
9	0	1	0.0022338717	0.998845	0	1	0.0	1.0	0.031192861439957	0.968807138560043	237717	1.018904125563189	0.5055633379186175
10	0	1	0.006885544	0.996263	0	1	0.0	1.0	0.0127070488445	0.9872929511555	197388	1.0098248567824233	0.5124273005451192
11	0	1	0.004753898	0.99738455	0	1	0.0	1.0	0.0274514446545399	0.97254855534546	174499	0.980019288479108	0.5135387595344386
12	0	1	0.006452331	0.9965478	0	1	0.0	1.0	0.0239064357860027	0.976093564213997	146658	1.0278029039970866	0.5175101255983308
13	0	1	0.0052400944	0.9968555	0	1	0.0	1.0	0.0275450969591957	0.972454903040804	135685	1.0136995483932734	0.5073589564063824
14	0	1	0.0051278262	0.99723464	0	1	0.0	1.0	0.0196166003531397	0.98038339964686	131170	0.9952465794711488	0.5182282534116033
15	0	1	0.00669457	0.99633086	0	1	0.0	1.0	0.0157179408485814	0.984282059151419	130563	0.9743114046076832	0.5015433162534562
16	0	1	0.0042839637	0.9977484	0	1	0.0	1.0	0.0412966644401673	0.958703335559833	129372	1.022323119821106	0.5077528367807562
17	0	1	0.009482469	0.9944359	0	1	0.0	1.0	0.0168435751920605	0.98315642480794	129234	0.9919294144362332	0.5144544005447483
18	0	1	0.004616735	0.99755955	0	1	0.0	1.0	0.034636266057044	0.965363733942956	111397	1.0307106929802468	0.5191611982369364
19	0	1	0.0041857567	0.9975916	0	1	0.0	1.0	0.0162509068036311	0.983749093196369	97784	0.9776326758369528	0.5161989691565082
20	0	1	0.016946837	0.9900706	0	1	0.051	0.949	0.146562771448494	0.853437228551506	96568	0.9601429336220132	0.4986745091541711
21	0	1	0.014844796	0.9916673	0	1	0.202	0.798	0.0447016211995617	0.955298378800438	88881	0.9780647011333208	0.5117291659634793
22	0	1	0.033423573	0.979931	0	1	0.295	0.705	0.0698251956243188	0.930174804375681	76233	0.9622181423067312	0.4786772132803379
23	0	1	0.008794283	0.99515367	0	1	0.0	1.0	0.0191231853292994	0.980876814670701	68395	0.99565686942754	0.5200964982820382
24	0	1	0.043248333	0.9739332	0	1	0.124	0.876	0.0566475881962762	0.943352411803724	66110	0.9790621601625672	0.4867342308274088
25	0	1	0.04665393	0.97248864	0	1	0.003	0.997	0.0157248774035884	0.984275122596412	65324	0.9640619231104052	0.4729808339966934
26	0	1	0.009572478	0.9946991	0	1	0.001	0.999	0.0461345346959836	0.953865465304016	56514	0.974532130217134	0.5064762713663871
27	1	0	0.031193987	0.9800949	1	0	0.995	0.005	0.83561337962347	0.16438662037653	53076	0.634334240299881	0.5239656341849424
28	0	1	0.005890029	0.9965663	0	1	0.0	1.0	0.0049670364781406	0.995032963521859	52633	0.970504537037621	0.4903767598274846
29	0	1	0.009076393	0.99494016	0	1	0.0	1.0	0.0134573087497498	0.98654269125025	43216	0.971592584453621	0.5125185116623473
30	0	1	0.012168282	0.99320686	0	1	0.013	0.987	0.0389713324445911	0.961028667555409	41308	0.9783909332247142	0.4946741551273361
31	0	1	0.037696443	0.97847915	0	1	0.001	0.999	0.0810768187235155	0.918923181276485	32992	1.0276750666573256	0.5224296799224054
32	1	0	0.07294647	0.9510499	0	1	0.959	0.041	0.255398792979974	0.744601207020026	32422	0.9762849512333632	0.4682622910369502
33	0	1	0.039982833	0.9748776	0	1	0.0	1.0	0.0148343174677512	0.985165682532249	30289	1.033725545128161	0.5146092640892733
34	0	1	0.012208412	0.99329585	0	1	0.001	0.999	0.05793564024221	0.94206435975779	30171	1.0049481191994922	0.536442279009645
35	1	0	0.049739067	0.9658405	1	0	0.969	0.031	0.798801522921284	0.201198477078716	27134	0.6209094874332501	0.4512051300950837
36	0	1	0.18408294	0.87788117	0	1	0.38	0.62	0.139711379630549	0.860288620369451	25639	0.9458350225856036	0.4738874371075315
37	0	1	0.031656545	0.98145235	0	1	0.002	0.998	0.0214036113862047	0.978596388613795	21524	0.9563235658233584	0.5050176547110202
38	0	1	0.7966448	0.31239742	0	1	0.376	0.624	0.0359223408359848	0.964077659164015	20054	0.9970857545504236	0.4389647950533559
39	0	1	0.068996996	0.95642054	0	1	0.22	0.78	0.0721362523593888	0.927863747640611	20000	0.9806921706694814	0.51245
40	0	1	0.036322176	0.9791992	0	1	0.021	0.979	0.059111554876776	0.940888445123224	19355	0.9675231909061388	0.4753810384913459
41	0	1	0.06855222	0.9547303	0	1	0.272	0.728	0.0886683644501911	0.911331635549809	18705	0.9215152532653206	0.4813686180165731
42	0	1	0.7208301	0.3817419	0	1	0.249	0.751	0.0583452921903255	0.941654707809675	17251	1.0051284757685872	0.4229320039418004
43	0	1	0.064033665	0.96031725	0	1	0.018	0.982	0.0598791280303625	0.940120871969637	16926	1.002883158282265	0.499172870140612
44	0	1	0.024807684	0.985362	0	1	0.072	0.928	0.0065534939948773	0.993446506005123	15872	1.021084503906476	0.5451738911290323
45	1	0	0.38452083	0.7452139	1	0	0.997	0.003	0.696076551943696	0.303923448056304	15522	0.5894100868468972	0.5069578662543487
46	0	1	0.110119015	0.92641133	1	0	0.7	0.3	0.40576038953464	0.59423961046536	15013	0.6435553772311842	0.5102910810630786
47	0	1	0.009273574	0.99485624	0	1	0.015	0.985	0.0067605450702608	0.993239454929739	14743	1.004701425871282	0.5106152072169843
48	0	1	0.1490429	0.9025259	0	1	0.334	0.666	0.34859651469718	0.65140348530282	14471	0.9638152526853156	0.4851772510538318
49	0	1	0.08191774	0.9499234	0	1	0.004	0.996	0.0108682093574562	0.989131790642544	13080	0.9884612145594348	0.5172018348623854
50	0	1	0.02058717	0.9879181	0	1	0.025	0.975	0.0104473518603279	0.989552648139672	12521	0.9818628172227856	0.4890983148310838
51	0	1	0.09189902	0.9411843	0	1	0.151	0.849	0.154374335040286	0.845625664959714	12283	0.9526575801248532	0.4787918261011153
52	0	1	0.09096166	0.94415283	1	0	0.865	0.135	0.293159220786855	0.706840779213145	11318	0.999640317485163	0.5367556105318961
53	0	1	0.07025083	0.95670396	0	1	0.589	0.411	0.134400407315194	0.865599592684806	9549	0.96768292466761	0.4744999476384962
54	0	1	0.7250056	0.3974646	0	1	0.344	0.656	0.175966241774297	0.824033758225703	9396	1.0016453791944615	0.4251809280544912
55	0	1	0.05168938	0.97189987	0	1	0.051	0.949	0.001534964392925	0.998465035607075	8936	1.013317514955502	0.5230528200537153
56	0	1	0.043901585	0.9754612	0	1	0.233	0.767	0.0070661078416451	0.992933892158355	8925	0.971289847254864	0.5241456582633053
57	1	0	0.34152958	0.7624854	0	1	0.922	0.078	0.0915858460706137	0.908414153929386	6570	0.9706447627189194	0.3834094368340943
58	0	1	0.16353011	0.8989013	0	1	0.21	0.79	0.066506716559912	0.933493283440088	5701	0.9569154677181744	0.4392211892650412
