contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr
1	0	1	0.0024620192	0.9985795	0	1	0.0	1.0
2	0	1	0.0011860103	0.99934494	0	1	0.0	1.0
3	0	1	0.0071831685	0.99605775	0	1	0.0	1.0
4	0	1	0.0011329385	0.9993794	0	1	0.0	1.0
5	0	1	0.0010566427	0.99941576	0	1	0.0	1.0
6	0	1	0.002154506	0.99890196	0	1	0.0	1.0
7	0	1	0.003687296	0.99804854	0	1	0.0	1.0
8	0	1	0.0027104598	0.9985238	0	1	0.001	0.999
9	0	1	0.00909412	0.9948976	0	1	0.0	1.0
10	0	1	0.0021510457	0.99886346	0	1	0.0	1.0
11	0	1	0.0048138825	0.997375	0	1	0.0	1.0
12	0	1	0.0031614937	0.99833107	0	1	0.0	1.0
13	0	1	0.002509618	0.99869645	0	1	0.0	1.0
14	0	1	0.0028669843	0.998409	0	1	0.0	1.0
15	0	1	0.0043860525	0.99758434	0	1	0.032	0.968
16	0	1	0.0027732686	0.9984055	0	1	0.0	1.0
17	0	1	0.0039878148	0.99782753	0	1	0.009	0.991
18	0	1	0.00952717	0.9948093	0	1	0.0	1.0
19	0	1	0.0031247712	0.9983578	0	1	0.0	1.0
20	0	1	0.006710676	0.99590755	0	1	0.007	0.993
21	0	1	0.0063550402	0.9965124	0	1	0.064	0.936
22	0	1	0.0052738055	0.99700576	0	1	0.002	0.998
23	1	0	0.85285723	0.20820005	1	0	0.964	0.036
24	0	1	0.0050111706	0.99735713	0	1	0.0	1.0
25	0	1	0.03782233	0.9776223	0	1	0.0	1.0
26	0	1	0.0167437	0.99062765	0	1	0.0	1.0
27	1	0	0.4869599	0.7187295	1	0	0.987	0.013
28	0	1	0.017445019	0.9904158	0	1	0.0	1.0
29	0	1	0.015332103	0.99121654	0	1	0.194	0.806
30	1	0	0.871562	0.22088109	1	0	0.853	0.147
31	0	1	0.47331607	0.6629985	0	1	0.168	0.832
32	0	1	0.11473628	0.93037444	0	1	0.239	0.761
