contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content
1	0	1	0.000292661	0.9998479	0	1	0.0	1.0	0.0236500586309544	0.976349941369046	790741	0.9353309098739732	0.5116631109301276
2	0	1	0.0013500823	0.9992551	0	1	0.0	1.0	0.0166529396718393	0.983347060328161	487217	0.8515722251346208	0.4990261013059889
3	0	1	0.0007481271	0.9995814	0	1	0.0	1.0	0.023019973908463	0.976980026091537	454651	0.8956202578935882	0.5063708206954345
4	0	1	0.0010373262	0.99945605	0	1	0.0	1.0	0.0333382609979478	0.966661739002052	406499	1.0	0.5093198261250336
5	0	1	0.00084984687	0.9995667	0	1	0.0	1.0	0.0383924782335356	0.961607521766464	387121	1.036634193996938	0.5024113907537954
6	0	1	0.0010581522	0.99944466	0	1	0.0	1.0	0.0340902173679545	0.965909782632046	288373	1.1030188725191383	0.5069025186130462
7	0	1	0.003304291	0.9982753	0	1	0.0	1.0	0.019989490022564	0.980010509977436	213298	1.075917519888289	0.5097609916642444
8	0	1	0.0049122632	0.99734974	0	1	0.0	1.0	0.0234720563073141	0.976527943692686	203751	1.065898463978498	0.5075901467968256
9	0	1	0.0028470142	0.9985169	0	1	0.0	1.0	0.040961787404189	0.959038212595811	193401	1.0122774302371311	0.5166157362164622
10	0	1	0.00473257	0.99733305	0	1	0.0	1.0	0.0367207845075476	0.963279215492452	147607	1.061764598148696	0.5111410705454348
11	0	1	0.014213213	0.99192595	0	1	0.04	0.96	0.0248718651412272	0.975128134858773	133597	1.0307845981365604	0.4804673757644258
12	0	1	0.0162379	0.9908279	0	1	0.0	1.0	0.0104012041509433	0.989598795849057	132226	0.9294409327593288	0.5071166033911636
13	0	1	0.0050150044	0.99730146	0	1	0.0	1.0	0.0397973354731169	0.960202664526883	129892	1.0312909692014944	0.5088612077726111
14	0	1	0.003698712	0.99803555	0	1	0.0	1.0	0.0308952032024333	0.969104796797567	129062	1.0935720846468928	0.5090499139948242
15	0	1	0.007978361	0.9957572	0	1	0.0	1.0	0.028080119594204	0.971919880405796	113253	0.9446358530195524	0.5181143104376926
16	0	1	0.0033634403	0.9981891	0	1	0.0	1.0	0.0271040305869389	0.972895969413061	112907	1.088389673548417	0.5167615825413836
17	0	1	0.018923556	0.9888014	0	1	0.0	1.0	0.0241442434201774	0.975855756579823	111787	0.8585038586617237	0.4943955916161986
18	0	1	0.030230552	0.98240066	0	1	0.0	1.0	0.0437925984568178	0.956207401543182	91265	0.886447810874418	0.4909001260066838
19	1	0	0.016884541	0.9893095	1	0	0.995	0.005	0.820627357202413	0.179372642797587	89983	1.0178504043079364	0.5018948023515553
20	0	1	0.0063879453	0.99626255	0	1	0.0	1.0	0.0117508253912556	0.988249174608744	51110	0.8609457225245548	0.4960477401682645
21	0	1	0.017556617	0.9894877	0	1	0.206	0.794	0.0790433262383734	0.920956673761627	50729	0.9585465354417764	0.5090973604841412
22	0	1	0.053845976	0.96746206	0	1	0.028	0.972	0.202812806360361	0.797187193639639	43612	0.9301354566638516	0.5066036870586077
23	0	1	0.012778949	0.99304414	0	1	0.0	1.0	0.0273594923750756	0.972640507624924	41343	1.0968376097688854	0.492538035459449
24	0	1	0.042902727	0.9746218	0	1	0.062	0.938	0.0308174902645428	0.969182509735457	39726	0.8868037752078931	0.4796355031968987
25	0	1	0.07507223	0.95445836	0	1	0.189	0.811	0.0828977331704143	0.917102266829586	33883	0.9967529268149437	0.4767582563527432
26	0	1	0.035884395	0.9790667	0	1	0.003	0.997	0.0113537057739107	0.988646294226089	31749	0.8512779497735974	0.4986613751614224
27	0	1	0.013905316	0.9923811	0	1	0.008	0.992	0.0480099868186444	0.951990013181356	30797	1.0147726652104712	0.5249212585641458
28	0	1	0.011560119	0.9939742	0	1	0.0	1.0	0.051803645473822	0.948196354526178	29789	1.081064340511805	0.5347947228842862
29	0	1	0.018098982	0.9895811	0	1	0.104	0.896	0.0883131524298735	0.911686847570127	29311	1.0908381860045442	0.4789328238545256
30	0	1	0.043737292	0.9748662	0	1	0.097	0.903	0.0291921839115121	0.970807816088488	23617	1.0229667845131047	0.5114112715416861
31	1	0	0.17543584	0.87632525	1	0	0.972	0.028	0.813078509904042	0.186921490095958	23505	1.0571008743662555	0.4473090831737928
