contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length
1	0	1	0.00025267893	0.99987394	0	1	0.0	1.0	0.0213683669369614	0.978631633063039	790741
2	0	1	0.0015252106	0.9991547	0	1	0.0	1.0	0.0166529396718393	0.983347060328161	487217
3	0	1	0.00078135205	0.9995637	0	1	0.0	1.0	0.025195637339127	0.974804362660873	454650
4	0	1	0.0010272836	0.99945986	0	1	0.0	1.0	0.0238605946905912	0.976139405309409	406499
5	0	1	0.0007981984	0.99960554	0	1	0.0	1.0	0.0383756065729457	0.961624393427054	387125
6	0	1	0.001032853	0.9994581	0	1	0.0	1.0	0.0340902173679545	0.965909782632046	288373
7	0	1	0.0033476036	0.99816805	0	1	0.0	1.0	0.0195277298996854	0.980472270100315	213302
8	0	1	0.0057393024	0.9969192	0	1	0.0	1.0	0.0234720563073141	0.976527943692686	203751
9	0	1	0.0025464525	0.9986869	0	1	0.0	1.0	0.0453266285008224	0.954673371499178	193401
10	0	1	0.0039592055	0.99775314	0	1	0.0	1.0	0.0530823761484728	0.946917623851527	147607
11	0	1	0.012161211	0.99312675	0	1	0.04	0.96	0.0776463003943054	0.922353699605695	133597
12	0	1	0.017493095	0.9900691	0	1	0.0	1.0	0.0104012041509433	0.989598795849057	132226
13	0	1	0.003781317	0.99797934	0	1	0.0	1.0	0.0171634491134552	0.982836550886545	129901
14	0	1	0.0055795666	0.9965374	0	1	0.001	0.999	0.0340815801423628	0.965918419857637	129661
15	0	1	0.0033918135	0.99816483	0	1	0.0	1.0	0.0308952032024333	0.969104796797567	129062
16	0	1	0.007980666	0.9956397	0	1	0.0	1.0	0.028080119594204	0.971919880405796	113253
17	0	1	0.003257832	0.9982574	0	1	0.0	1.0	0.0271040305869389	0.972895969413061	112907
18	0	1	0.015657682	0.9908154	0	1	0.0	1.0	0.0190905678276009	0.980909432172399	111787
19	1	0	0.030540992	0.9804589	1	0	0.995	0.005	0.821152522979072	0.178847477020928	89940
20	0	1	0.0058731036	0.9966412	0	1	0.328	0.672	0.0748922549432041	0.925107745056796	63634
21	0	1	0.004455647	0.9974886	0	1	0.0	1.0	0.0117508253912556	0.988249174608744	51110
22	0	1	0.015446633	0.9907212	0	1	0.206	0.794	0.0790433262383734	0.920956673761627	50729
23	0	1	0.067113996	0.9590783	0	1	0.028	0.972	0.202812806360361	0.797187193639639	43612
24	0	1	0.012089908	0.9934609	0	1	0.0	1.0	0.0273594923750756	0.972640507624924	41343
25	0	1	0.0786986	0.95198953	0	1	0.189	0.811	0.0895541626249245	0.910445837375075	33883
26	0	1	0.038366005	0.97752047	0	1	0.003	0.997	0.0113537057739107	0.988646294226089	31749
27	0	1	0.013209814	0.9927653	0	1	0.008	0.992	0.116160157871514	0.883839842128486	30797
28	0	1	0.010651092	0.99449563	0	1	0.0	1.0	0.051803645473822	0.948196354526178	29789
29	0	1	0.045844395	0.973526	0	1	0.097	0.903	0.0959701929628366	0.904029807037163	23617
30	1	0	0.1585593	0.8895569	1	0	0.972	0.028	0.620502106862099	0.379497893137901	23505
31	0	1	0.0626002	0.96428496	0	1	0.814	0.186	0.144510968255908	0.855489031744092	16384
32	1	0	0.037738297	0.9774034	1	0	0.774	0.226	0.682714141841828	0.317285858158172	12516
33	0	1	0.07284046	0.9584859	0	1	0.142	0.858	0.0152373745659954	0.984762625434005	9093
34	0	1	0.071715154	0.9596026	0	1	0.195	0.805	0.0432711574482955	0.956728842551705	8695
35	0	1	0.13852674	0.9126183	0	1	0.021	0.979	0.0060466079212626	0.993953392078737	7610
36	0	1	0.24871805	0.9623012	1	0	0.913	0.087	0.630575935271045	0.369424064728955	6993
37	0	1	0.032343436	0.9824978	0	1	0.014	0.986	0.0127284577408869	0.987271542259113	5432
38	0	1	0.101977736	0.94313794	0	1	0.163	0.837	0.254523654112682	0.745476345887318	4435
39	0	1	0.0961119	0.9502368	0	1	0.066	0.934	0.0823066033079073	0.917693396692093	4150
40	1	0	0.10144934	0.9995036	0	1	0.011	0.989	0.0059143616162554	0.994085638383745	3150
41	0	1	0.10992382	0.93903905	0	1	0.162	0.838	0.0102483247133489	0.989751675286651	3138
42	0	1	0.0665102	0.96572113	0	1	0.215	0.785	0.142640464457439	0.857359535542561	2651
43	0	1	0.33731455	0.77925646	0	1	0.03	0.97	0.0215611982305535	0.978438801769447	1962
44	0	1	0.07348802	0.96070915	0	1	0.214	0.786	0.0057955741790393	0.994204425820961	1776
45	0	1	0.02221682	0.9964163	0	1	0.121	0.879	0.0130936093640854	0.986906390635915	1709
46	1	0	0.022468325	0.99971366	0	1	0.039	0.961	0.0004586924041461	0.999541307595854	1342
47	0	1	0.0014923629	0.9999643	0	1	0.125	0.875	0.122137574338811	0.877862425661189	1142
48	0	1	0.085454024	0.98992497	0	1	0.136	0.864	0.5	0.5	921
49	1	0	0.44268578	0.9888209	0	1	0.666	0.334	0.5	0.5	836
50	0	1	0.042030726	0.9960864	0	1	0.023	0.977	0.5	0.5	812
51	1	0	0.1158509	0.9750092	0	1	0.425	0.575	0.5	0.5	811
52	0	1	0.18876936	0.962802	0	1	0.192	0.808	0.5	0.5	796
53	0	1	0.17322868	0.9079104	0	1	0.191	0.809	0.5	0.5	766
54	0	1	0.21062067	0.88531756	0	1	0.253	0.747	0.5	0.5	766
55	0	1	0.00258357	0.9999186	0	1	0.183	0.817	0.5	0.5	755
56	0	1	0.0029446334	0.9996357	0	1	0.237	0.763	0.5	0.5	739
57	0	1	0.0028818003	0.99965024	0	1	0.208	0.792	0.5	0.5	739
58	0	1	0.1042742	0.98784876	0	1	0.111	0.889	0.5	0.5	704
59	1	0	0.01885326	0.9935542	0	1	0.459	0.541	0.5	0.5	641
60	1	0	0.007902955	0.99801505	0	1	0.367	0.633	0.5	0.5	559
61	0	1	0.49814758	0.8583915	0	1	0.289	0.711	0.5	0.5	533
62	0	1	0.11958863	0.9545932	0	1	0.283	0.717	0.5	0.5	523
63	0	1	0.14825262	0.97547865	0	1	0.36	0.64	0.5	0.5	498
64	0	1	0.45445484	0.9145999	0	1	0.087	0.913	0.5	0.5	487
65	0	1	0.0077034202	0.998725	0	1	0.196	0.804	0.5	0.5	486
66	0	1	0.0077562956	0.99858034	0	1	0.211	0.789	0.5	0.5	486
67	1	0	0.11774425	0.97311836	0	1	0.225	0.775	0.5	0.5	446
68	0	1	0.014043559	0.9965553	0	1	0.201	0.799	0.5	0.5	438
69	0	1	0.014496594	0.996464	0	1	0.185	0.815	0.5	0.5	438
70	0	1	0.12465756	0.97972536	0	1	0.304	0.696	0.5	0.5	421
71	1	0	0.0032790294	0.99954855	0	1	0.404	0.596	0.5	0.5	397
72	0	1	0.0929504	0.98269564	0	1	0.217	0.783	0.5	0.5	394
73	0	1	0.043853838	0.9851465	0	1	0.415	0.585	0.5	0.5	372
74	0	1	0.042793512	0.9900396	0	1	0.241	0.759	0.5	0.5	359
75	0	1	0.040091515	0.9903041	0	1	0.237	0.763	0.5	0.5	359
76	1	0	0.04532365	0.9970168	0	1	0.146	0.854	0.5	0.5	355
77	0	1	0.002280731	0.9999417	0	1	0.308	0.692	0.5	0.5	339
78	0	1	0.016657744	0.9986909	0	1	0.241	0.759	0.5	0.5	336
